group_num	term	label
1	39449-4	LT US.doppler Extremity vein
1	39495-7	LT US.doppler Extremity vessels - bilateral
1	39496-5	LT US.doppler Upper extremity vein - bilateral
1	39497-3	LT US.doppler Iliac vessels
1	39498-1	LT US.doppler Femoral vessels - left
1	39499-9	LT US.doppler Lower extremity artery - left
1	39500-4	LT US.doppler Upper extremity artery - left
1	39501-2	LT US.doppler Upper extremity vein - left
1	39503-8	LT US.doppler Extremity vessels - right
1	39504-6	LT US.doppler Femoral vessels - right
1	39505-3	LT US.doppler Lower extremity artery - right
1	39506-1	LT US.doppler Upper extremity artery - right
1	39507-9	LT US.doppler Upper extremity vein - right
1	39523-6	LT US.doppler Artery
1	39525-1	LT US.doppler Vein
1	42146-1	LT US.doppler Carotid arteries
1	42147-9	LT US.doppler Iliac graft
1	43765-7	LT US.doppler Carotid arteries - bilateral
1	43771-5	LT US.doppler Extremity vessels
1	44174-1	LT US.doppler Lower extremity vessels
1	44175-8	LT US.doppler Neck vessels
1	44235-0	LT US.doppler Superior mesenteric vessels
1	46362-0	LT US.doppler Foot vessels
1	46379-4	LT US.doppler Upper extremity vessels - bilateral
1	46382-8	LT US.doppler Hand vessels
1	46388-5	LT US.doppler Thoracic and abdominal aorta
1	48742-1	LT US.doppler Scrotum and testicle
1	69283-0	LT US.doppler Extremity veins - bilateral
1	69284-8	LT US.doppler Portal vein and Hepatic vein
1	69398-6	LT US.doppler Extremity vessels - left
1	80857-6	LT US.doppler Head
1	80859-2	LT US.doppler Heart
1	80874-1	LT US.doppler Penis vessels
1	80896-4	LT US.doppler Aorta and Iliac artery - bilateral
1	93241-8	LT US.doppler Unspecified body region
1	93604-7	LT US.doppler Lower extremity arteries+veins - bilateral
1	94681-4	LT US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels
1	98286-8	LT US.doppler Foot vessels - right
1	98287-6	LT US.doppler Foot vessels - bilateral
1	98288-4	LT US.doppler Foot vessels - left
1	98289-2	LT US.doppler Hand vessels - left
1	98290-0	LT US.doppler Hand vessels - bilateral
1	98291-8	LT US.doppler Hand vessels - right
1	98292-6	LT US.doppler Femoral artery and Popliteal artery - right
1	98293-4	LT US.doppler Femoral artery and Popliteal artery - left
2	100369-8	LT NM Thyroid gland Views W Tl-201 IV
2	30695-1	LT NM Thyroid gland Views
3	100438-1	LT Adolescent medicine Outpatient Progress note
3	100547-9	LT Adolescent medicine Hospital Progress note
3	68617-0	LT Adolescent medicine Progress note
4	100439-9	LT Allergy and Immunology Outpatient Progress note
4	100548-7	LT Allergy and Immunology Hospital Progress note
4	68631-1	LT Allergy and Immunology Progress note
5	100440-7	LT Allergy Outpatient Progress note
5	100549-5	LT Allergy Hospital Progress note
5	95757-1	LT Allergy Progress note
6	100441-5	LT Attending Outpatient Progress note
6	100550-3	LT Attending Hospital Progress note
6	18733-6	LT Attending Progress note
7	100442-3	LT Audiology Outpatient Progress note
7	100551-1	LT Audiology Hospital Progress note
7	77426-5	LT Audiology Progress note
8	100443-1	LT Bariatric surgery Outpatient Progress note
8	100552-9	LT Bariatric surgery Hospital Progress note
8	85515-5	LT Bariatric surgery Progress note
9	100444-9	LT Blood banking and transfusion medicine Outpatient Progress note
9	100553-7	LT Blood banking and transfusion medicine Hospital Progress note
9	89795-9	LT Blood banking and transfusion medicine Progress note
10	100445-6	LT Bone Marrow Transplant Outpatient Progress note
10	100554-5	LT Bone Marrow Transplant Hospital Progress note
10	94468-6	LT Bone Marrow Transplant Progress note
11	100446-4	LT Breastfeeding Outpatient Progress note
11	100555-2	LT Breastfeeding Hospital Progress note
11	95802-5	LT Breastfeeding Progress note
12	100447-2	LT Burn management Outpatient Progress note
12	100556-0	LT Burn management Hospital Progress note
12	90014-2	LT Burn management Progress note
13	100448-0	LT Cardiac surgery Outpatient Progress note
13	100557-8	LT Cardiac surgery Hospital Progress note
13	97571-4	LT Cardiac surgery Progress note
14	100449-8	LT Cardiopulmonary Outpatient Progress note
14	100558-6	LT Cardiopulmonary Hospital Progress note
14	97570-6	LT Cardiopulmonary Progress note
15	100450-6	LT Child and adolescent psychiatry Outpatient Progress note
15	100559-4	LT Child and adolescent psychiatry Hospital Progress note
15	68646-9	LT Child and adolescent psychiatry Progress note
16	100451-4	LT Chiropractic medicine Outpatient Progress note
16	28580-9	LT Chiropractic medicine Progress note
17	100452-2	LT Clinical cardiac electrophysiology Outpatient Progress note
17	100560-2	LT Clinical cardiac electrophysiology Hospital Progress note
17	94518-8	LT Clinical cardiac electrophysiology Progress note
18	100453-0	LT Clinical genetics Outpatient Progress note
18	100561-0	LT Clinical genetics Hospital Progress note
18	68659-2	LT Clinical genetics Progress note
19	100454-8	LT Clinical neurophysiology Outpatient Progress note
19	100562-8	LT Clinical neurophysiology Hospital Progress note
19	80665-3	LT Clinical neurophysiology Progress note
20	100455-5	LT Clinical pathology Outpatient Progress note
20	100563-6	LT Clinical pathology Hospital Progress note
20	90011-8	LT Clinical pathology Progress note
21	100456-3	LT Colon and rectal surgery Outpatient Progress note
21	100564-4	LT Colon and rectal surgery Hospital Progress note
21	97575-5	LT Colon and rectal surgery Progress note
22	100457-1	LT Consultant Outpatient Progress note
22	100565-1	LT Consultant Hospital Progress note
22	28569-2	LT Consultant Progress note
23	100459-7	LT Outpatient COVID-19 Progress note
23	95041-0	LT COVID-19 Progress note
24	100460-5	LT Dermatology Outpatient Progress note
24	100567-7	LT Dermatology Hospital Progress note
24	78326-6	LT Dermatology Progress note
25	100461-3	LT Developmental-behavioral pediatrics Outpatient Progress note
25	100568-5	LT Developmental-behavioral pediatrics Hospital Progress note
25	68668-3	LT Developmental-behavioral pediatrics Progress note
26	100462-1	LT Dialysis and Therapeutic apheresis Outpatient Progress note
26	100569-3	LT Dialysis and Therapeutic apheresis Hospital Progress note
26	95134-3	LT Dialysis and Therapeutic apheresis Progress note
27	100463-9	LT Eating disorders Outpatient Progress note
27	100570-1	LT Eating disorders Hospital Progress note
27	97572-2	LT Eating disorders Progress note
28	100464-7	LT Endocrinology Outpatient Progress note
28	100571-9	LT Endocrinology Hospital Progress note
28	78327-4	LT Endocrinology Progress note
29	100465-4	LT Family medicine Outpatient Progress note
29	100572-7	LT Family medicine Hospital Progress note
29	78324-1	LT Family medicine Progress note
30	100466-2	LT Gastroenterology Outpatient Progress note
30	100573-5	LT Gastroenterology Hospital Progress note
30	78323-3	LT Gastroenterology Progress note
31	100467-0	LT Geriatric medicine Outpatient Progress note
31	100575-0	LT Geriatric medicine Hospital Progress note
31	80815-4	LT Geriatric medicine Progress note
32	100468-8	LT Gynecologic oncology Outpatient Progress note
32	100576-8	LT Gynecologic oncology Hospital Progress note
32	89802-3	LT Gynecologic oncology Progress note
33	100469-6	LT Gynecology Outpatient Progress note
33	100577-6	LT Gynecology Hospital Progress note
34	100470-4	LT Healthcare navigator Outpatient Progress note
34	100578-4	LT Healthcare navigator Hospital Progress note
34	93900-9	LT Healthcare navigator Progress note
35	100471-2	LT Heart failure Outpatient Progress note
35	100579-2	LT Heart failure Hospital Progress note
35	90772-5	LT Heart failure Progress note
36	100472-0	LT Heart failure+Transplant cardiology Outpatient Progress note
36	100580-0	LT Heart failure+Transplant cardiology Hospital Progress note
36	97577-1	LT Heart failure+Transplant cardiology Progress note
37	100473-8	LT Hematology Outpatient Progress note
37	100581-8	LT Hematology Hospital Progress note
37	78328-2	LT Hematology Progress note
38	100474-6	LT Hematology+Medical oncology Outpatient Progress note
38	100582-6	LT Hematology+Medical oncology Hospital Progress note
38	68554-5	LT Hematology+Medical oncology Progress note
39	100475-3	LT Hepatology Outpatient Progress note
39	100583-4	LT Hepatology Hospital Progress note
39	96338-9	LT Hepatology Progress note
40	100476-1	LT Immunology Outpatient Progress note
40	100584-2	LT Immunology Hospital Progress note
40	95746-4	LT Immunology Progress note
41	100477-9	LT Infectious disease Outpatient Progress note
41	100585-9	LT Infectious disease Hospital Progress note
41	78325-8	LT Infectious disease Progress note
42	100478-7	LT Internal medicine Outpatient Progress note
42	100586-7	LT Internal medicine Hospital Progress note
42	97578-9	LT Internal medicine Progress note
43	100479-5	LT Interventional cardiology Outpatient Progress note
43	100587-5	LT Interventional cardiology Hospital Progress note
43	97691-0	LT Interventional cardiology Progress note
44	100480-3	LT Interventional radiology Outpatient Progress note
44	100588-3	LT Interventional radiology Hospital Progress note
44	72556-4	LT Interventional radiology Progress note
45	100481-1	LT Outpatient Mechanical circulatory support Progress note
45	100589-1	LT Hospital Mechanical circulatory support Progress note
45	97573-0	LT Mechanical circulatory support Progress note
46	100482-9	LT Medical Aid in Dying Outpatient Progress note
46	100590-9	LT Medical Aid in Dying Hospital Progress note
46	94749-9	LT Medical Aid in Dying Progress note
47	100483-7	LT Mental health Outpatient Progress note
47	100591-7	LT Mental health Hospital Progress note
47	34904-3	LT Mental health Progress note
48	100484-5	LT Multi-specialty program Outpatient Progress note
48	100592-5	LT Multi-specialty program Hospital Progress note
48	68679-0	LT Multi-specialty program Progress note
49	100485-2	LT Neonatal perinatal medicine Outpatient Progress note
49	100593-3	LT Neonatal perinatal medicine Hospital Progress note
49	78479-3	LT Neonatal perinatal medicine Progress note
50	100486-0	LT Nephrology Outpatient Progress note
50	100594-1	LT Nephrology Hospital Progress note
50	78480-1	LT Nephrology Progress note
51	100487-8	LT Neurological surgery Outpatient Progress note
51	100595-8	LT Neurological surgery Hospital Progress note
51	68693-1	LT Neurological surgery Progress note
52	100488-6	LT Neurology Outpatient Progress note
52	100596-6	LT Neurology Hospital Progress note
52	75221-2	LT Neurology Progress note
53	100489-4	LT Neurology with special qualifications in child neurology Outpatient Progress note
53	100597-4	LT Neurology with special qualifications in child neurology Hospital Progress note
53	68703-8	LT Neurology with special qualifications in child neurology Progress note
54	100490-2	LT Nurse practitioner Outpatient Progress note
54	100598-2	LT Nurse practitioner Hospital Progress note
54	28575-9	LT Nurse practitioner Progress note
55	100491-0	LT Nurse Outpatient Progress note
55	100599-0	LT Nurse Hospital Progress note
55	28623-7	LT Nurse Progress note
56	100492-8	LT Nutrition and dietetics Outpatient Progress note
56	100600-6	LT Nutrition and dietetics Hospital Progress note
56	78481-9	LT Nutrition and dietetics Progress note
57	100493-6	LT Obstetrics and Gynecology Outpatient Progress note
57	100601-4	LT Obstetrics and Gynecology Hospital Progress note
58	100494-4	LT Obstetrics Outpatient Progress note
58	100602-2	LT Obstetrics Hospital Progress note
59	100495-1	LT Occupational therapy Outpatient Progress note
59	100603-0	LT Occupational therapy Hospital Progress note
59	11507-1	LT Occupational therapy Progress note
60	100496-9	LT Oncology Outpatient Progress note
60	100604-8	LT Oncology Hospital Progress note
60	78482-7	LT Oncology Progress note
61	100497-7	LT Ophthalmology Outpatient Progress note
61	100605-5	LT Ophthalmology Hospital Progress note
61	68574-3	LT Ophthalmology Progress note
62	100498-5	LT Optometry Outpatient Progress note
62	78667-3	LT Optometry Progress note
63	100499-3	LT Oral and Maxillofacial Surgery Outpatient Progress note
63	100606-3	LT Oral and Maxillofacial Surgery Hospital Progress note
63	96342-1	LT Oral and Maxillofacial Surgery Progress note
64	100500-8	LT Orthopaedic surgery Outpatient Progress note
64	100607-1	LT Orthopaedic surgery Hospital Progress note
64	68582-6	LT Orthopaedic surgery Progress note
65	100501-6	LT Orthotics prosthetics Outpatient Progress note
65	100608-9	LT Orthotics prosthetics Hospital Progress note
65	97579-7	LT Orthotics prosthetics Progress note
66	100502-4	LT Otolaryngology Outpatient Progress note
66	100609-7	LT Otolaryngology Hospital Progress note
66	78669-9	LT Otolaryngology Progress note
67	100503-2	LT Pain medicine Outpatient Progress note
67	100610-5	LT Pain medicine Hospital Progress note
67	78668-1	LT Pain medicine Progress note
68	100504-0	LT Palliative care Outpatient Progress note
68	100611-3	LT Palliative care Hospital Progress note
68	78663-2	LT Palliative care Progress note
69	100505-7	LT Pediatric cardiology Outpatient Progress note
69	100613-9	LT Pediatric cardiology Hospital Progress note
69	68725-1	LT Pediatric cardiology Progress note
70	100506-5	LT Pediatric dermatology Outpatient Progress note
70	100614-7	LT Pediatric dermatology Hospital Progress note
70	68891-1	LT Pediatric dermatology Progress note
71	100507-3	LT Pediatric endocrinology Outpatient Progress note
71	100615-4	LT Pediatric endocrinology Hospital Progress note
71	68896-0	LT Pediatric endocrinology Progress note
72	100508-1	LT Pediatric gastroenterology Outpatient Progress note
72	100616-2	LT Pediatric gastroenterology Hospital Progress note
72	68744-2	LT Pediatric gastroenterology Progress note
73	100509-9	LT Pediatric hematology-oncology Outpatient Progress note
73	100617-0	LT Pediatric hematology-oncology Hospital Progress note
73	68755-8	LT Pediatric hematology-oncology Progress note
74	100510-7	LT Pediatric infectious diseases Outpatient Progress note
74	100618-8	LT Pediatric infectious diseases Hospital Progress note
74	68763-2	LT Pediatric infectious diseases Progress note
75	100511-5	LT Pediatric otolaryngology Outpatient Progress note
75	100619-6	LT Pediatric otolaryngology Hospital Progress note
75	68873-9	LT Pediatric otolaryngology Progress note
76	100512-3	LT Pediatric pulmonology Outpatient Progress note
76	100620-4	LT Pediatric pulmonology Hospital Progress note
76	68785-5	LT Pediatric pulmonology Progress note
77	100513-1	LT Pediatric rheumatology Outpatient Progress note
77	100621-2	LT Pediatric rheumatology Hospital Progress note
77	68878-8	LT Pediatric rheumatology Progress note
78	100514-9	LT Pediatric surgery Outpatient Progress note
78	100622-0	LT Pediatric surgery Hospital Progress note
78	68800-2	LT Pediatric surgery Progress note
79	100515-6	LT Pediatric transplant hepatology Outpatient Progress note
79	100623-8	LT Pediatric transplant hepatology Hospital Progress note
79	68862-2	LT Pediatric transplant hepatology Progress note
80	100516-4	LT Pediatric urology Outpatient Progress note
80	68810-1	LT Pediatric urology Progress note
81	100517-2	LT Pharmacogenomics Outpatient Progress note
81	100624-6	LT Pharmacogenomics Hospital Progress note
81	90007-6	LT Pharmacogenomics Progress note
82	100518-0	LT Physical medicine and rehab Outpatient Progress note
82	100626-1	LT Physical medicine and rehab Hospital Progress note
82	89030-1	LT Physical medicine and rehab Progress note
83	100519-8	LT Physical therapy Outpatient Progress note
83	100627-9	LT Physical therapy Hospital Progress note
83	11508-9	LT Physical therapy Progress note
84	100520-6	LT Plastic surgery Outpatient Progress note
84	100628-7	LT Plastic surgery Hospital Progress note
84	68595-8	LT Plastic surgery Progress note
85	100521-4	LT Podiatry Outpatient Progress note
85	100629-5	LT Podiatry Hospital Progress note
85	11509-7	LT Podiatry Progress note
86	100522-2	LT Psychiatry Hospital Progress note
86	100661-8	LT Psychiatry Outpatient Progress note
86	28627-8	LT Psychiatry Progress note
87	100523-0	LT Psychology Outpatient Progress note
87	100630-3	LT Psychology Hospital Progress note
87	11510-5	LT Psychology Progress note
88	100524-8	LT Pulmonary Outpatient Progress note
88	64063-1	LT Pulmonary Hospital Progress note
88	80819-6	LT Pulmonary Progress note
89	100525-5	LT Radiation oncology Outpatient Progress note
89	100631-1	LT Radiation oncology Hospital Progress note
89	78665-7	LT Radiation oncology Progress note
90	100526-3	LT Radiology Outpatient Progress note
90	100632-9	LT Radiology Hospital Progress note
90	97580-5	LT Radiology Progress note
91	100527-1	LT Recreational therapy Outpatient Progress note
91	100634-5	LT Recreational therapy Hospital Progress note
91	78664-0	LT Recreational therapy Progress note
92	100528-9	LT Reproductive endocrinology and infertility Outpatient Progress note
92	100635-2	LT Reproductive endocrinology and infertility Hospital Progress note
92	82365-8	LT Reproductive endocrinology and infertility Progress note
93	100529-7	LT Research Outpatient Progress note
93	100636-0	LT Research Hospital Progress note
93	68840-8	LT Research Progress note
94	100530-5	LT Rheumatology Outpatient Progress note
94	100637-8	LT Rheumatology Hospital Progress note
94	78666-5	LT Rheumatology Progress note
95	100531-3	LT Sleep medicine Outpatient Progress note
95	100638-6	LT Sleep medicine Hospital Progress note
95	96350-4	LT Sleep medicine Progress note
96	100532-1	LT Social worker Outpatient Progress note
96	100639-4	LT Social worker Hospital Progress note
96	28656-7	LT Social worker Progress note
97	100533-9	LT Solid Organ Transplant Outpatient Progress note
97	100640-2	LT Solid Organ Transplant Hospital Progress note
97	94466-0	LT Solid Organ Transplant Progress note
98	100534-7	LT Speech-language pathology Outpatient Progress note
98	100641-0	LT Speech-language pathology Hospital Progress note
98	11512-1	LT Speech-language pathology Progress note
99	100535-4	LT Spinal surgery Outpatient Progress note
99	100642-8	LT Spinal surgery Hospital Progress note
99	97574-8	LT Spinal surgery Progress note
100	100536-2	LT Sports medicine Outpatient Progress note
100	78705-1	LT Sports medicine Progress note
101	100537-0	LT Surgery of the hand Outpatient Progress note
101	100643-6	LT Surgery of the hand Hospital Progress note
101	97576-3	LT Surgery of the hand Progress note
102	100539-6	LT Thromboembolism Outpatient Progress note
102	100644-4	LT Thromboembolism Hospital Progress note
102	90876-4	LT Thromboembolism Progress note
103	100540-4	LT Transplant surgery Outpatient Progress note
103	70238-1	LT Transplant surgery Hospital Progress note
104	100541-2	LT Trauma Outpatient Progress note
104	100645-1	LT Trauma Hospital Progress note
104	89816-3	LT Trauma Progress note
105	100542-0	LT Urology Outpatient Progress note
105	100646-9	LT Urology Hospital Progress note
105	75220-4	LT Urology Progress note
106	100543-8	LT Vascular neurology Outpatient Progress note
106	100647-7	LT Vascular neurology Hospital Progress note
106	80667-9	LT Vascular neurology Progress note
107	100544-6	LT Vascular surgery Outpatient Progress note
107	100648-5	LT Vascular surgery Hospital Progress note
107	85441-4	LT Vascular surgery Progress note
108	100545-3	LT Wound care management Outpatient Progress note
108	100649-3	LT Wound care management Hospital Progress note
108	89821-3	LT Wound care management Progress note
109	100546-1	LT Wound, Ostomy, and Continence Care Outpatient Progress note
109	100650-1	LT Wound, Ostomy, and Continence Care Hospital Progress note
109	94245-8	LT Wound, Ostomy, and Continence Care Progress note
110	100566-9	LT Dentistry Hospital Progress note
110	28617-9	LT Dentistry Progress note
110	34128-9	LT Dentistry Outpatient Progress note
111	100574-3	LT General medicine Hospital Progress note
111	34900-1	LT General medicine Progress note
111	34901-9	LT General medicine Outpatient Progress note
112	100612-1	LT Pastoral care Hospital Progress note
112	80671-1	LT Pastoral care Progress note
113	100625-3	LT Pharmacology Hospital Progress note
113	34132-1	LT Pharmacology Outpatient Progress note
113	80569-7	LT Pharmacology Progress note
114	100633-7	LT Rapid response team Hospital Progress note
114	89813-0	LT Rapid response team Progress note
115	100651-9	LT Hospital COVID-19 Intubation Progress note
115	94809-1	LT COVID-19 Intubation Progress note
116	100655-0	LT XR Sella turcica Lateral
116	24920-1	LT XR Skull Lateral
116	37858-8	LT XR Sinuses Lateral
117	100656-8	LT Maternal and fetal medicine Outpatient Progress note
117	100659-2	LT Maternal and fetal medicine Hospital Progress note
117	89807-2	LT Maternal and fetal medicine Telephone encounter Progress note
117	93897-7	LT Maternal and fetal medicine Progress note
118	100697-2	LT Interventional radiology Outpatient Note
118	84178-3	LT Interventional radiology Note
118	89806-4	LT Interventional radiology Telephone encounter Note
118	94787-9	LT Interventional radiology Telehealth Note
119	100721-0	LT Community health care Discharge summary
119	88641-6	LT Community health care Adult day care center Discharge summary
120	100731-9	LT Urgent care center Discharge summary
120	18842-5	LT Discharge summary
120	34105-7	LT Hospital Discharge summary
120	59258-4	LT Emergency department Discharge summary
120	85200-4	LT Observation unit Discharge summary
121	100760-8	LT XR Radius and Ulna - left Single view
121	103462-8	LT XR Radius and Ulna - bilateral Single view
121	69317-6	LT XR Radius and Ulna - right Single view
122	100879-6	LT US Guidance for cryoablation of Breast - right
122	100880-4	LT US Guidance for cryoablation of Breast - left
123	100883-8	LT MR Guidance for biopsy of Kidney - left
123	100884-6	LT MR Guidance for biopsy of Kidney - right
124	101026-3	LT Urgent care center History and physical note
124	11492-6	LT Provider-unspecifed, History and physical note
124	34117-2	LT History and physical note
124	78307-6	LT Emergency department History and physical note
124	85201-2	LT Observation unit History and physical note
125	101042-0	LT Urgent care center Progress note
125	11506-3	LT Progress note
125	15507-7	LT Emergency department Progress note
125	34126-3	LT Intensive care unit Progress note
125	34130-5	LT Hospital Progress note
125	34131-3	LT Outpatient Progress note
125	75497-8	LT Telehealth Progress note
126	101043-8	LT Urgent care center Consult note
126	11488-4	LT Consult note
126	34100-8	LT Intensive care unit Consult note
126	34104-0	LT Hospital Consult note
126	51845-6	LT Outpatient Consult note
126	51846-4	LT Emergency department Consult note
126	85208-7	LT Telehealth Consult note
127	101048-7	LT Hospitalist Consult note
127	104066-6	LT Hospitalist Outpatient Consult note
128	101057-8	LT Psychiatry Telehealth Admission evaluation note
128	83880-5	LT Psychiatry Admission evaluation note
129	101886-0	LT General medicine Telephone encounter Consult note
129	34101-6	LT General medicine Outpatient Consult note
129	34764-1	LT General medicine Consult note
130	101887-8	LT Surgery Telephone encounter Consult note
130	34847-4	LT Surgery Consult note
131	101888-6	LT Palliative care Telephone encounter Consult note
131	78568-3	LT Palliative care Consult note
131	84358-1	LT Palliative care Patient's home Consult note
131	90715-4	LT Palliative care Telehealth Consult note
132	103228-3	LT XR Spine Lumbar and Sacrum 2 or 3 Views
132	43539-6	LT XR Cervical spine 2 or 3 Views
132	48469-1	LT XR Lumbar spine 2 or 3 Views
133	103229-1	LT XR Finger - right GE 2 Views
133	103231-7	LT XR Finger - left GE 2 Views
133	103401-6	LT XR Finger - bilateral GE 2 Views
133	79354-7	LT XR Finger GE 2 Views
134	103230-9	LT XR Knee - bilateral 1 or 2 Views
134	44198-0	LT XR Knee 1 or 2 Views
134	47373-6	LT XR Knee - left 1 or 2 Views
134	47375-1	LT XR Knee - right 1 or 2 Views
135	103232-5	LT XR Toe third - right GE 2 Views
135	103380-2	LT XR Toe third - left GE 2 Views
136	103233-3	LT XR Pelvis and Hip - right View AP and Views 2 or 3
136	103249-9	LT XR Pelvis and Hip - left View AP and Views 2 or 3
137	103234-1	LT XR Pelvis and Hip - right 2 or 3 Views
137	103235-8	LT XR Pelvis and Hip - left 2 or 3 Views
137	103471-9	LT XR Pelvis and Hip - bilateral 2 or 3 Views
137	44181-6	LT XR Sacroiliac Joint 2 or 3 Views
138	103236-6	LT XR Toes - right GE 2 Views
138	103237-4	LT XR Toes - left GE 2 Views
138	103306-7	LT XR Toes - bilateral GE 2 Views
139	103238-2	LT XR Hip - right 2 or 3 Views
139	103242-4	LT XR Hip - left 2 or 3 Views
139	103271-3	LT XR Hip 2 or 3 Views
140	103239-0	LT XR Humerus - right GE 2 Views
140	103276-2	LT XR Thumb - right GE 2 Views
141	103240-8	LT XR Humerus - left GE 2 Views
141	103278-8	LT XR Thumb - left GE 2 Views
142	103243-2	LT XR Nasal bones GE 3 Views
142	103488-3	LT XR Zygomatic arch GE 3 Views
142	103493-3	LT XR Mastoid - left GE 3 Views
142	103495-8	LT XR Mastoid - right GE 3 Views
142	43486-0	LT XR Sinuses GE 3 Views
142	46377-8	LT XR Skull GE 3 Views
142	47381-9	LT XR Mastoid GE 3 Views
142	48479-0	LT XR Facial bones GE 3 Views
142	83039-8	LT XR Mastoid - bilateral GE 3 Views
143	103244-0	LT XR Great toe - left GE 2 Views
143	103247-3	LT XR Great toe - right GE 2 Views
143	79373-7	LT XR Toe GE 2 Views
144	103245-7	LT XR Hand - bilateral GE 3 Views
144	47370-2	LT XR Hand - left GE 3 Views
144	47371-0	LT XR Hand - right GE 3 Views
144	79357-0	LT XR Hand GE 3 Views
145	103246-5	LT XR Pelvis and Hip - bilateral 2 Views
145	36647-6	LT XR Coccyx 2 Views
145	37651-7	LT XR Sacrum 2 Views
145	42685-8	LT XR Pelvis and Hip - left 2 Views
145	42686-6	LT XR Pelvis and Hip - right 2 Views
145	44179-0	LT XR Sacrum and Coccyx 2 Views
146	103248-1	LT XR Femur - right GE 2 Views
146	103250-7	LT XR Femur - left GE 2 Views
146	103327-3	LT XR Femur - bilateral GE 2 Views
147	103253-1	LT XR Knee - bilateral GE 4 Views
147	47374-4	LT XR Knee - left GE 4 Views
147	47376-9	LT XR Knee - right GE 4 Views
147	79364-6	LT XR Knee GE 4 Views
148	103255-6	LT XR Lumbar spine 4 or 5 Views
148	83023-2	LT XR Cervical spine 4 or 5 Views
149	103256-4	LT XR Chest and Abdomen 2 Views
149	103372-9	LT XR Ribs - left and Chest 2 Views
149	103395-0	LT XR Clavicle - bilateral 2 Views
149	103469-3	LT XR Ribs - bilateral and Chest 2 Views
149	103504-7	LT XR Scapula - bilateral 2 Views
149	36645-0	LT XR Clavicle 2 Views
149	36646-8	LT XR Clavicle - left 2 Views
149	36666-6	LT XR Scapula - left 2 Views
149	37066-8	LT XR Ribs - left 2 Views
149	37655-8	LT XR Scapula 2 Views
149	37679-8	LT XR Clavicle - right 2 Views
149	37780-4	LT XR Ribs - right 2 Views
149	37787-9	LT XR Scapula - right 2 Views
149	37883-6	LT XR Sternum 2 Views
149	39060-9	LT XR Ribs 2 Views
149	42687-4	LT XR Ribs - bilateral 2 Views
149	79366-1	LT XR Ribs - unilateral and Chest 2 Views
149	83040-6	LT XR Ribs - unilateral 2 Views
150	103257-2	LT XR Shoulder - bilateral GE 3 Views
150	103259-8	LT XR Shoulder - left GE 3 Views
150	103427-1	LT XR Shoulder - right GE 3 Views
151	103258-0	LT XR Pelvis and Hip - right Single view
151	103270-5	LT XR Pelvis and Hip - left Single view
151	103334-9	LT XR Pelvis and Hip - bilateral Single view
151	103449-5	LT XR Sacrum and Coccyx Single view
152	103260-6	LT XR Spine Lumbar and Sacrum Views W right bending and W left bending
152	42413-5	LT XR Lumbar spine Views W right bending and W left bending
153	103261-4	LT XR Shoulder - bilateral GE 2 Views
153	79368-7	LT XR Shoulder - left GE 2 Views
153	79369-5	LT XR Shoulder - right GE 2 Views
153	79370-3	LT XR Shoulder GE 2 Views
