	NODE_ID	PARENT_ID	FK_ID	PART	HIERARCHY_ID	parent_part_id
27	14058545	14058544	LP13945-8	(Alternaria alternata+Aspergillus fumigatus+Cladosporium herbarum+Penicillium notatum)	3	LP30713-9
28	14048194	14048191	LP13946-6	Alternaria alternata	3	LP14358-3
29	14058150	14058149	LP13946-6	Alternaria alternata	3	LP14358-3
30	14048219	14048199	LP13947-4	Aspergillus fumigatus	3	LP14075-3
31	14058190	14058176	LP13947-4	Aspergillus fumigatus	3	LP14075-3
32	14048309	14048306	LP13948-2	Cladosporium herbarum	3	LP30593-5
33	14058281	14058275	LP13948-2	Cladosporium herbarum	3	LP30593-5
34	14048376	14048375	LP13949-0	Penicillium notatum	3	LP19195-4
35	14058412	14058405	LP13949-0	Penicillium notatum	3	LP19195-4
36	14059011	14058999	LP13951-6	Paspalum notatum	3	LP31634-6
37	14059025	14058999	LP13952-4	Cynodon dactylon	3	LP31634-6
38	14059089	14058999	LP13953-2	Sorghum halepense	3	LP31634-6
39	14057913	14057891	LP13955-7	(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares)	3	LP30712-1
40	14057504	14057474	LP13956-5	Gadus morhua	3	LP13942-5
41	14057448	14057447	LP13957-3	Mytilus edulis	3	LP17029-7
42	14057597	14057474	LP13958-1	Salmo salar	3	LP13942-5
43	14057619	14057618	LP13959-9	Pandalus borealis	3	LP149596-1
44	14057661	14057474	LP13960-7	Thunnus albacares	3	LP13942-5
45	14057905	14057891	LP13961-5	(Chicken feather+Duck feather+Goose feather+Parrot feather)	3	LP30712-1
46	14057296	14057284	LP13962-3	Chicken feather	3	LP14220-5
47	14057325	14057324	LP13963-1	Duck feather	3	LP31644-5
48	14057372	14057371	LP13964-9	Goose feather	3	LP31645-2
49	14057399	14057393	LP13965-6	Parrot feather	3	LP18708-5
50	14059373	14059243	LP13967-2	Populus deltoides	3	LP31633-8
51	14060684	14060547	LP13969-8	(Juniperus sabinoides+Quercus alba+Ulmus americana+Populus deltoides+Prosopis juliflora)	3	LP30710-5
52	14059511	14059243	LP13970-6	Juniperus sabinoides	3	LP31633-8
53	14059502	14059243	LP13971-4	Prosopis juliflora	3	LP31633-8
54	14060687	14060547	LP13972-2	(Quercus alba+Ulmus americana+Platanus acerifolia+Salix caprea+Populus deltoides)	3	LP30710-5
55	14059482	14059243	LP13973-0	Platanus acerifolia	3	LP31633-8
56	14059740	14059243	LP13974-8	Salix caprea	3	LP31633-8
57	14060709	14060547	LP13975-5	(Ambrosia psilostachya+Artemisia vulgaris+Atriplex lentiformis+Chenopodium album+Plantago lanceolata)	3	LP30710-5
58	14060492	14059744	LP13976-3	Ambrosia psilostachya	3	LP31635-3
59	14057898	14057891	LP13978-9	(Chicken feather+Duck feather+Goose feather+Turkey feather)	3	LP30712-1
60	14057434	14057429	LP13979-7	Turkey feather	3	LP17652-6
61	14060625	14060547	LP13980-5	(Avena sativa+Hordeum vulgare+Oryza sativa+Secale cereale+Triticum aestivum+Zea mays)	3	LP30710-5
62	14059063	14058999	LP13981-3	Zea mays	3	LP31634-6
63	14059122	14058999	LP13982-1	Avena sativa	3	LP31634-6
64	14057281	14057273	LP13983-9	Canary serum proteins	3	LP18705-1
65	14057303	14057284	LP13984-7	Chicken serum	3	LP14220-5
66	14048345	14048344	LP13985-4	Cryptostroma corticale	3	LP30561-2
67	14058295	14058139	LP13985-4	Cryptostroma corticale	3	LP30727-9
68	14057404	14057393	LP13986-2	Parrot serum	3	LP18708-5
69	14057395	14057393	LP13987-0	Parrot droppings	3	LP18708-5
70	14057388	14057379	LP13988-8	Parakeet serum	3	LP18707-7
71	14057380	14057379	LP13989-6	Parakeet droppings	3	LP18707-7
72	14058437	14058139	LP13990-4	Pullularia sp	3	LP30727-9
73	14057414	14057413	LP13991-2	Pigeon droppings	3	LP31646-0
74	14058132	14058131	LP13992-0	(Blatella germanica+Dermatophagoides farinae+Dermatophagoides pteronyssinus+House dust Hollister Stier)	3	LP30716-2
75	14057714	14057678	LP13993-8	Blatella germanica	3	LP31632-0
76	14057740	14057739	LP13994-6	Dermatophagoides farinae	3	LP30596-8
77	14048210	14048199	LP13997-9	Aspergillus clavatus	3	LP14075-3
78	14048242	14048199	LP13998-7	Aspergillus nidulans	3	LP14075-3
79	14058213	14058176	LP13998-7	Aspergillus nidulans	3	LP14075-3
80	14048256	14048199	LP13999-5	Aspergillus terreus	3	LP14075-3
81	14058231	14058176	LP13999-5	Aspergillus terreus	3	LP14075-3
82	14057772	14057678	LP14000-1	Vespa crabro	3	LP31632-0
83	14059208	14058999	LP14001-9	Pascopyrum smithii	3	LP31634-6
84	14060701	14060547	LP14002-7	(Citharexylum caudatum+Juniperus monosperma+Juniperus scopulorum)	3	LP30710-5
85	14059282	14059243	LP14003-5	Citharexylum caudatum	3	LP31633-8
86	14059528	14059243	LP14004-3	Juniperus monosperma	3	LP31633-8
87	14059627	14059243	LP14005-0	Juniperus scopulorum	3	LP31633-8
88	14060172	14059744	LP14006-8	Maple syrup	3	LP31635-3
89	14060648	14060547	LP14007-6	(Anthoxanthum odoratum+Cynodon dactylon+Lolium perenne+Phleum pratense+Sorghum halepense)	3	LP30710-5
90	14059171	14058999	LP14009-2	Anthoxanthum odoratum	3	LP31634-6
91	14058421	14058139	LP14011-8	Phoma sp	3	LP30727-9
92	14053196	14053194	LP14012-6	Alpha galactosidase A	3	LP31406-9
93	14053229	14053228	LP14013-4	Acid alpha glucosidase	3	LP14748-5
94	14053197	14053194	LP14014-2	Alpha mannosidase	3	LP31406-9
95	14053199	14053194	LP14015-9	Alpha-N-acetylgalactosaminidase	3	LP31406-9
96	14053198	14053194	LP14016-7	Alpha-L-iduronidase	3	LP31406-9
97	14052199	14052114	LP14017-5	Aspartylglucosaminidase	3	LP31392-1
98	14052201	14052114	LP14018-3	Beta galactosidase	3	LP31392-1
99	14060722	14060721	LP14018-3	Beta galactosidase	3	LP30681-8
100	14053057	14053056	LP14019-1	Beta glucuronidase	3	LP15448-1
101	14053211	14053194	LP14020-9	Beta mannosidase	3	LP31406-9
102	14053215	14053213	LP14021-7	Beta-N-acetylhexosaminidase.B	3	LP14022-5
103	14053213	14053194	LP14022-5	Beta-N-acetylhexosaminidase	3	LP31406-9
104	14053222	14053194	LP14023-3	Cerebroside sulfatase	3	LP31406-9
105	14053224	14053194	LP14024-1	Cholesterol esterase	3	LP31406-9
106	14052251	14052114	LP14025-8	Dihydroxyacetone phosphate acylcoa acyl transferase	3	LP31392-1
107	14052267	14052114	LP14026-6	Galactose 1 phosphate uridyl transferase	3	LP31392-1
108	14053226	14053194	LP14027-4	Galactosylceramidase	3	LP31406-9
109	14052290	14052114	LP14028-2	Heparan-N-sulfatase	3	LP31392-1
110	14052298	14052114	LP14029-0	Iduronate-2-Sulfatase	3	LP31392-1
111	14053236	14053194	LP14031-6	N-Acetylgalactosamine-4-Sulfatase	3	LP31406-9
112	14053237	14053194	LP14032-4	N-Acetylgalactosamine-6-Sulfatase	3	LP31406-9
113	14053238	14053194	LP14033-2	N-Acetylglucosamine-6-Sulfatase	3	LP31406-9
114	14053243	14053194	LP14034-0	Sialidase	3	LP31406-9
115	14053244	14053194	LP14035-7	Acid sphingomyelinase	3	LP31406-9
116	14046984	14046983	LP14036-5	Corynebacterium spp toxin	3	LP30498-7
117	14056178	14056079	LP14037-3	Plasma cells	3	LP15094-3
118	14056151	14056148	LP14038-1	Hairy cells	3	LP19572-4
119	14053371	14053368	LP14040-7	Cancer Ag 19-9	3	LP31412-7
120	14051669	14051651	LP14041-5	Progesterone	3	LP31663-5
121	14053710	14053708	LP14041-5	Progesterone	3	LP31663-5
122	14048103	14048101	LP14042-3	Treponema pallidum	3	LP21118-2
123	14056319	14056315	LP14043-1	Epithelial cells	3	LP18500-6
124	14062018	14062016	LP14043-1	Epithelial cells	3	LP14739-4
125	14064433	14064430	LP14043-1	Epithelial cells	3	LP14738-6
126	14064407	26947265	LP14044-9	Casts	3	LP7851-1
127	14051512	14051489	LP14045-6	Testosterone	3	LP31654-4
128	14053680	14053675	LP14045-6	Testosterone	3	LP31654-4
129	14048869	14048865	LP14046-4	Adenovirus type	3	LP17999-1
130	14046602	14046578	LP14047-2	Bordetella pertussis.toxin	3	LP14371-6
131	14046599	14046578	LP14048-0	Bordetella pertussis.secretory	3	LP14371-6
132	14059042	14058999	LP14050-6	Fagopyrum esculentum	3	LP31634-6
133	14059632	14059243	LP14052-2	Sesamum indicum	3	LP31633-8
134	14060642	14060547	LP14053-0	(Anthoxanthum odoratum+Holcus lanatus+Lolium perenne+Phragmites communis+Secale cereale)	3	LP30710-5
135	14059133	14058999	LP14054-8	Lolium perenne	3	LP31634-6
136	14059205	14058999	LP14055-5	Holcus lanatus	3	LP31634-6
137	14059060	14058999	LP14056-3	Phragmites communis	3	LP31634-6
138	14059157	14059151	LP14057-1	Secale cereale pollen	3	LP13933-4
139	14050142	14050140	LP14058-9	Polio virus 1	3	LP18878-6
140	14050144	14050140	LP14059-7	Polio virus 2	3	LP18878-6
141	14050146	14050140	LP14060-5	Polio virus 3	3	LP18878-6
142	14048870	14048865	LP14061-3	Adenovirus	3	LP17999-1
143	14049095	14049091	LP14062-1	Coxsackievirus B1	3	LP18929-7
144	14049099	14049091	LP14063-9	Coxsackievirus B2	3	LP18929-7
145	14046453	14046448	LP14064-7	Actinobacillus pleuropneumoniae serotype 5	3	LP14066-2
146	14046455	14046448	LP14065-4	Actinobacillus pleuropneumoniae serotype 7	3	LP14066-2
147	14046448	14046446	LP14066-2	Actinobacillus pleuropneumoniae	3	LP28877-6
148	14046457	14046448	LP14067-0	Actinobacillus pleuropneumoniae biovar 2	3	LP14066-2
149	14046460	14046446	LP14068-8	Actinobacillus suis	3	LP28877-6
150	14046478	14046477	LP14069-6	Aeromonas salmonicida	3	LP28822-2
151	14050783	14050782	LP14070-4	Aflatoxin	3	LP30608-1
152	14053036	14053035	LP14071-2	Ammonia	3	LP31397-0
153	14054057	14054055	LP14071-2	Ammonia	3	LP18221-9
154	14046488	14046486	LP14072-0	Anaplasma marginale	3	LP19871-0
155	14050897	14050887	LP14073-8	Antibiotic XXX	3	LP31426-7
156	14054418	14054411	LP14073-8	Antibiotic XXX	3	LP31426-7
157	66376536	66376515	LP14073-8	Antibiotic XXX	3	LP31426-7
158	14050899	14050887	LP14074-6	Apramycin	3	LP31426-7
159	66376538	66376515	LP14074-6	Apramycin	3	LP31426-7
160	14048199	14048179	LP14075-3	Aspergillus sp	3	LP14398-9
161	14058176	14058139	LP14075-3	Aspergillus sp	3	LP30727-9
162	14050308	14050307	LP14076-1	Avian paramyxovirus 1	3	LP20786-7
163	14048616	14048615	LP14077-9	Babesia bigemina	3	LP14081-1
164	14048618	14048615	LP14078-7	Babesia bovis	3	LP14081-1
165	14048623	14048615	LP14079-5	Babesia canis	3	LP14081-1
166	14048625	14048615	LP14080-3	Babesia divergens	3	LP14081-1
167	14048615	14048421	LP14081-1	Babesia sp	3	LP98186-7
168	14046397	14046396	LP14082-9	Bacteria	3	LP98185-9
169	14062017	14062016	LP14082-9	Bacteria	3	LP14739-4
170	14064432	14064430	LP14082-9	Bacteria	3	LP14738-6
171	14046537	14046523	LP14083-7	Bartonella henselae	3	LP18336-5
172	14053921	14053920	LP14084-5	Biochanin A	3	LP14121-5
173	14048269	14048179	LP14085-2	Blastomyces sp	3	LP14398-9
174	14050348	14050269	LP14086-0	Bluetongue virus	3	LP30610-7
175	14046621	14046613	LP14087-8	Borrelia burgdorferi	3	LP14436-7
176	14050394	14050269	LP14088-6	Bovine leukemia virus	3	LP30610-7
177	14050401	14050400	LP14089-4	Bovine parainfluenza virus 3	3	LP20789-1
178	14050405	14050269	LP14090-2	Bovine respiratory syncytial virus	3	LP30610-7
179	14054206	14054191	LP14091-0	Bromide	3	LP31434-1
180	14046762	14046742	LP14092-8	Brucella canis	3	LP14160-3
181	14046772	14046742	LP14093-6	Brucella ovis	3	LP14160-3
182	14050416	14050414	LP14094-4	Canine adenovirus 1	3	LP14095-1
183	14050414	14050269	LP14095-1	Canine adenovirus	3	LP30610-7
184	14050418	14050269	LP14096-9	Canine coronavirus	3	LP30610-7
185	14050421	14050269	LP14097-7	Canine distemper virus	3	LP30610-7
186	14050426	14050269	LP14098-5	Canine herpesvirus	3	LP30610-7
187	14050429	14050269	LP14099-3	Canine parainfluenza virus 2	3	LP30610-7
188	14050431	14050269	LP14100-9	Canine parvovirus	3	LP30610-7
189	14050437	14050269	LP14101-7	Caprine arthritis encephalitis virus	3	LP30610-7
190	14050967	14050887	LP14102-5	Ceftiofur	3	LP31426-7
191	66376615	66376515	LP14102-5	Ceftiofur	3	LP31426-7
192	14048512	14048495	LP14103-3	Dirofilaria immitis	3	LP14814-5
193	14047026	14047022	LP14104-1	Ehrlichia canis	3	LP17119-6
194	14051013	14050887	LP14105-8	Enrofloxacin	3	LP31426-7
195	66376678	66376515	LP14105-8	Enrofloxacin	3	LP31426-7
196	14054084	14054069	LP14106-6	Ethylene glycol	3	LP31432-5
197	14050526	14050269	LP14107-4	Feline calicivirus	3	LP30610-7
198	14050528	14050269	LP14108-2	Feline coronavirus	3	LP30610-7
199	14050532	14050530	LP14109-0	Feline herpesvirus 1	3	LP14110-8
200	14050530	14050269	LP14110-8	Feline herpesvirus	3	LP30610-7
201	14050537	14050269	LP14111-6	Feline immunodeficiency virus	3	LP30610-7
202	14050539	14050269	LP14112-4	Feline infectious peritonitis virus	3	LP30610-7
203	14050543	14050542	LP14113-2	Feline leukemia provirus	3	LP14114-0
204	14050542	14050269	LP14114-0	Feline leukemia virus	3	LP30610-7
205	14050546	14050269	LP14115-7	Feline panleukopenia virus	3	LP30610-7
206	14050551	14050269	LP14117-3	Feline syncytial virus	3	LP30610-7
207	14051024	14050887	LP14118-1	Florfenicol	3	LP31426-7
208	66376691	66376515	LP14118-1	Florfenicol	3	LP31426-7
209	14047131	14047130	LP14119-9	Francisella tularensis	3	LP30597-6
210	14054089	14054069	LP14120-7	Fumonisin	3	LP31432-5
211	14053920	14053918	LP14121-5	Genistein	3	LP31732-8
212	14048695	14048694	LP14122-3	Giardia lamblia	3	LP14817-8
213	14055421	14055419	LP14123-1	Gossypol	3	LP31496-0
214	26534022	26332667	LP14124-9	Complete blood count WO Differential panel	3	LP7833-9
215	26534030	26332667	LP14125-6	Differential panel	3	LP7833-9
216	34142373	14051975	LP14126-4	Cardiolipin	3	LP15798-9
217	26533669	26332664	LP14127-2	Basic metabolic 1998 panel	3	LP7834-7
218	26533670	26332664	LP14128-0	Basic metabolic 2000 panel	3	LP7834-7
219	26533705	26332664	LP14129-8	Comprehensive metabolic 1998 panel	3	LP7834-7
220	26533706	26332664	LP14130-6	Comprehensive metabolic 2000 panel	3	LP7834-7
221	26533767	26332664	LP14131-4	Hepatic function 1996 panel	3	LP7834-7
222	26533768	26332664	LP14132-2	Hepatic function 2000 panel	3	LP7834-7
223	26533730	26332664	LP14133-0	Electrolytes 1998 panel	3	LP7834-7
224	26533731	26332664	LP14134-8	Electrolytes 3 panel	3	LP7834-7
225	26533790	26332664	LP14135-5	Lipid 1996 panel	3	LP7834-7
226	26533658	26332664	LP14136-3	Alkaline phosphatase isoenz panel	3	LP7834-7
227	26533664	26332664	LP14137-1	Amylase isoenz 3 panel	3	LP7834-7
228	26533665	26332664	LP14138-9	Amylase isoenz 7 panel	3	LP7834-7
229	26533711	26332664	LP14139-7	Creatine kinase panel	3	LP7834-7
230	26533761	26332664	LP14140-5	Gas panel	3	LP7834-7
231	26533760	26332664	LP14141-3	Gas & CO panel	3	LP7834-7
232	26533823	26332664	LP14142-1	Parathyrin.intact & Calcium panel	3	LP7834-7
233	26533825	26332664	LP14143-9	Parathyrin.mid molecule & Calcium panel	3	LP7834-7
234	26533756	26332664	LP14144-7	Free T4 & TSH panel	3	LP7834-7
235	26533953	26332666	LP14145-4	Drugs of abuse 5 panel	3	LP29683-7
236	26534009	26332666	LP14146-2	Volatiles panel	3	LP29683-7
237	26533840	26332664	LP14147-0	Protein fractions panel	3	LP7834-7
238	26533636	26332665	LP14148-8	Glucose tolerance gestational panel	3	LP31895-3
239	26332723	26332676	LP14149-6	Urinalysis macroscopic panel	3	LP7838-8
240	26332720	26332676	LP14150-4	Urinalysis panel	3	LP7838-8
241	26332724	26332676	LP14151-2	Urinalysis macro (dipstick) panel	3	LP7838-8
242	26534041	26332667	LP14152-0	Hemogram WO Platelets panel	3	LP7833-9
243	26534040	26332667	LP14153-8	Hemogram WO Platelets & W Manual Differential panel	3	LP7833-9
244	26534034	26332667	LP14154-6	Hemoglobin & Hematocrit panel	3	LP7833-9
245	26534020	26332667	LP14155-3	Complete blood count W Ordered Manual Differential panel	3	LP7833-9
246	26533846	26332664	LP14156-1	Renal function 2000 panel	3	LP7834-7
247	26133369	26133331	LP14157-9	Acute hepatitis 2000 panel	3	LP7835-4
248	26332722	26332676	LP14159-5	Urinalysis microscopic panel	3	LP7838-8
249	14046742	14046396	LP14160-3	Brucella sp	3	LP98185-9
250	14051466	14051422	LP14161-1	Cortisol	3	LP31653-6
251	14053672	14053658	LP14161-1	Cortisol	3	LP31653-6
252	33850058	27695458	LP14161-1	Cortisol	3	LP234174-3
253	14048808	14048421	LP14162-9	Toxoplasma sp	3	LP98186-7
254	14065985	14065982	LP14163-7	Neuronal nuclear type 1	3	LP15057-0
255	14065987	14065982	LP14164-5	Neuronal nuclear type 2	3	LP15057-0
256	14046903	14046901	LP14165-2	Chlamydophila pneumoniae+Chlamydophila psittaci	3	LP21268-5
257	14046913	14046903	LP14167-8	Chlamydophila psittaci	3	LP14165-2
258	14058563	14058562	LP14168-6	Triplochiton scleroxylon	3	LP30729-5
259	14048212	14048199	LP14169-4	Aspergillus flavus	3	LP14075-3
260	14058184	14058176	LP14169-4	Aspergillus flavus	3	LP14075-3
261	14048249	14048199	LP14170-2	Aspergillus niger	3	LP14075-3
262	14058221	14058176	LP14170-2	Aspergillus niger	3	LP14075-3
263	14059801	14059744	LP14171-0	Beet	3	LP31635-3
264	14057262	14057261	LP14173-6	Budgerigar droppings	3	LP18704-4
265	14057268	14057261	LP14174-4	Budgerigar serum proteins	3	LP18704-4
266	14056943	14056934	LP14175-1	Cat serum albumin	3	LP19344-8
267	14050922	14050887	LP14176-9	Cefaclor	3	LP31426-7
268	14054426	14054411	LP14176-9	Cefaclor	3	LP31426-7
269	14057953	14057929	LP14176-9	Cefaclor	3	LP30682-6
270	66376563	66376515	LP14176-9	Cefaclor	3	LP31426-7
271	14057292	14057284	LP14177-7	Chicken droppings	3	LP14220-5
272	14059947	14059744	LP14178-5	Dactylis glomerata	3	LP31635-3
273	14057340	14057335	LP14179-3	Coralbumin	3	LP30698-2
274	14058583	14058562	LP14180-1	Cotton fibers	3	LP30729-5
275	14057006	14056990	LP14181-9	Dog serum albumin	3	LP28645-7
276	14060044	14059744	LP14182-7	Trigonella foenum-graecum	3	LP31635-3
277	14057021	14057019	LP14183-5	Fox epithelium	3	LP18542-8
278	14057547	14057474	LP14184-3	Merluccius merluccius	3	LP13942-5
279	14058623	14058562	LP14185-0	Hexahydrophthalic anhydride	3	LP30729-5
280	14057050	14057037	LP14186-8	Horse meat	3	LP28444-5
281	14058868	14058763	LP14187-6	Artocarpus heterophyllus	3	LP30705-5
282	14059073	14058999	LP14188-4	Linum usitatissimum	3	LP31634-6
283	14055639	14055547	LP14189-2	Maleic anhydride	3	LP34869-5
284	14058693	14058562	LP14189-2	Maleic anhydride	3	LP30729-5
285	14057576	14057474	LP14190-0	Tenebrio mollitor	3	LP13942-5
286	14058697	14058562	LP14191-8	Methyltetrahydrophthalic anhydride	3	LP30729-5
287	14060495	14059744	LP14194-2	Acnida tamariscina	3	LP31635-3
288	14057907	14057891	LP14195-9	(Chicken feather+Duck feather+Goose feather)	3	LP30712-1
289	14060627	14060547	LP14197-5	(Brassica oleracea var botrytis+Brassica oleracea var capitata+Brassica oleracea var gemmifera+Brassica oleracea var italica)	3	LP30710-5
290	14059832	14059744	LP14198-3	Brassica oleracea var italica	3	LP31635-3
291	14059837	14059744	LP14199-1	Brassica oleracea var gemmifera	3	LP31635-3
292	14059848	14059744	LP14200-7	Brassica oleracea var capitata	3	LP31635-3
293	14059883	14059744	LP14201-5	Brassica oleracea var botrytis	3	LP31635-3
294	14059612	14059243	LP14202-3	Acer rubrum	3	LP31633-8
295	14060062	14059744	LP14203-1	Ambrosia trifida	3	LP31635-3
296	14059095	14058999	LP14206-4	Kamut flour	3	LP31634-6
297	14058905	14058763	LP14207-2	Mangifera indica	3	LP30705-5
298	14060508	14059744	LP14209-8	Pepper white+Pepper black	3	LP31635-3
299	14060504	14059744	LP14210-6	Pepper white	3	LP31635-3
300	14059813	14059744	LP14211-4	Piper nigrum	3	LP31635-3
301	14060490	14059744	LP14214-8	Bean wax	3	LP31635-3
302	14057921	14057891	LP14218-9	(Beef+Chicken+Pork)	3	LP30712-1
303	14056967	14056955	LP14219-7	Beef	3	LP31760-9
304	14057284	14057260	LP14220-5	Chicken	3	LP30699-0
305	14057243	14057242	LP14221-3	Pork	3	LP17462-0
306	14058900	14058763	LP14222-1	Citrus reticulata	3	LP30705-5
307	14057214	14056931	LP14225-4	Rat	3	LP31630-4
308	14049101	14049091	LP14228-8	Coxsackievirus B3	3	LP18929-7
309	14049103	14049091	LP14229-6	Coxsackievirus B4	3	LP18929-7
310	14049105	14049091	LP14230-4	Coxsackievirus B5	3	LP18929-7
311	14049108	14049091	LP14231-2	Coxsackievirus B6	3	LP18929-7
312	14050229	14048860	LP14232-0	Saint Louis encephalitis virus	3	LP14855-8
313	14047744	14047738	LP14234-6	Rickettsia typhi	3	LP16745-9
314	14047702	14047690	LP14235-3	Rickettsia spotted fever group	3	LP16742-6
315	14050020	14048860	LP14236-1	La Crosse virus	3	LP14855-8
316	14050759	14048860	LP14237-9	Western equine encephalitis virus	3	LP14855-8
317	14049029	14048860	LP14238-7	Eastern equine encephalitis virus	3	LP14855-8
318	14049839	14049838	LP14239-5	Influenza virus A	3	LP17147-7
319	14049991	14049838	LP14240-3	Influenza virus B	3	LP17147-7
320	14050084	14050083	LP14241-1	Parainfluenza virus 1	3	LP18337-3
321	14050091	14050083	LP14242-9	Parainfluenza virus 2	3	LP18337-3
322	14050098	14050083	LP14243-7	Parainfluenza virus 3	3	LP18337-3
323	14050178	14048860	LP14244-5	Respiratory syncytial virus	3	LP14855-8
324	14049077	14049049	LP14245-2	Coxsackievirus A10	3	LP18301-9
325	14049079	14049049	LP14246-0	Coxsackievirus A16	3	LP18301-9
326	14049065	14049049	LP14247-8	Coxsackievirus A7	3	LP18301-9
327	14049072	14049049	LP14248-6	Coxsackievirus A9	3	LP18301-9
328	14047546	14047494	LP14249-4	Mycoplasma pneumoniae	3	LP14264-3
329	14046828	14046396	LP14250-2	Chlamydia sp	3	LP98185-9
330	14050051	14048860	LP14251-0	Mumps virus	3	LP14855-8
331	14048809	14048808	LP14252-8	Toxoplasma gondii	3	LP14162-9
332	14058503	14058139	LP14252-8	Toxoplasma gondii	3	LP30727-9
333	26534121	26133331	LP14253-6	Hepatitis 1996 panel	3	LP7835-4
334	26534217	26133331	LP14254-4	TORCH 1996 panel	3	LP7835-4
335	14048977	14048860	LP14255-1	Cytomegalovirus	3	LP14855-8
336	14051301	14051279	LP14255-1	Cytomegalovirus	3	LP64213-9
337	14054192	14054191	LP14257-7	Heavy metals	3	LP31434-1
338	14048347	14048179	LP14258-5	Histoplasma sp	3	LP14398-9
339	14054227	14054191	LP14259-3	Lead	3	LP31434-1
340	14053801	26057073	LP14259-3	Lead	3	LP7784-4
341	14047337	14046396	LP14260-1	Leptospira sp	3	LP98185-9
342	14054106	14054069	LP14261-9	Metaldehyde	3	LP31432-5
343	14048459	14048453	LP14262-7	Mite	3	LP14805-3
344	14047530	14047494	LP14263-5	Mycoplasma hyopneumoniae	3	LP14264-3
345	14047494	14046396	LP14264-3	Mycoplasma sp	3	LP98185-9
346	14047558	14047494	LP14265-0	Mycoplasma synoviae	3	LP14264-3
347	14048756	14048755	LP14266-8	Neospora caninum	3	LP30600-8
348	14056110	14056108	LP14267-6	Neutrophils	3	LP18643-4
349	14064457	14064455	LP14267-6	Neutrophils	3	LP14419-3
350	14053949	14053948	LP14268-4	Nitrate+Nitrite	3	LP14269-2
351	14053948	14053821	LP14269-2	Nitrate	3	LP31433-3
352	14053122	14053084	LP14270-0	Nitrite	3	LP31398-8
353	14064482	14064473	LP14270-0	Nitrite	3	LP40317-7
354	14047658	14047657	LP14271-8	Pasteurella multocida	3	LP30574-5
355	14054124	14054069	LP14272-6	Pesticides	3	LP31432-5
356	14050628	14050269	LP14273-4	Porcine adenovirus	3	LP30610-7
357	14050631	14050269	LP14274-2	Porcine circovirus	3	LP30610-7
358	14050640	14050269	LP14275-9	Porcine influenza virus A	3	LP30610-7
359	14050643	14050269	LP14276-7	Porcine parvovirus	3	LP30610-7
360	14050646	14050269	LP14277-5	Porcine reproductive and respiratory syndrome virus	3	LP30610-7
361	14050674	14050269	LP14278-3	Porcine rotavirus	3	LP30610-7
362	14050676	14050269	LP14279-1	Pseudorabies virus	3	LP30610-7
363	14047688	14047687	LP14280-9	Rhodococcus equi	3	LP30579-4
364	14047812	14047757	LP14281-7	Salmonella pullorum	3	LP16750-9
365	14047828	14047757	LP14282-5	Salmonella typhimurium	3	LP16750-9
366	14054241	14054191	LP14283-3	Selenium	3	LP31434-1
367	14054186	14054069	LP14284-1	Strychnine	3	LP31432-5
368	14050711	14050269	LP14285-8	Swine influenza virus	3	LP30610-7
369	14048068	14048067	LP14286-6	Taylorella equigenitalis	3	LP30587-7
370	14048844	14048834	LP14287-4	Trypanosoma cruzi	3	LP14851-7
