ParentPartNumber	ParentPart	ParentPartTypeName	ChildPartNumber	ChildPart	ChildPartName	LoincNumber	LoincFormalName
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	34204-8	11-Deoxycortisol:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	34205-5	11-Deoxycortisol:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	34206-3	11-Deoxycortisol/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	42572-8	11-Deoxycortisol:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	21034-4	11-Deoxycortisol^evening specimen:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	21035-1	11-Deoxycortisol^morning specimen:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	25315-3	11-Deoxycortisol:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	50071-0	11-Deoxycortisol:SCnc:Pt:Amnio fld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	53338-0	11-Deoxycortisol:MCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15252-7	11-Deoxycortisol	COMPONENT	53339-8	11-Deoxycortisol:SCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230250-5	11-Deoxytetrahydrocortisol	COMPONENT	82861-6	11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol:SRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP230250-5	11-Deoxytetrahydrocortisol	COMPONENT	82862-4	11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	82858-2	11-Deoxytetrahydrocorticosterone:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	82859-0	11-Deoxytetrahydrocorticosterone:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	82860-8	11-Deoxytetrahydrocorticosterone:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	83130-5	11-Deoxytetrahydrocorticosterone/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	95571-6	11-Deoxytetrahydrocorticosterone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP220341-4	11-Deoxytetrahydrocorticosterone	COMPONENT	95572-4	11-Deoxytetrahydrocorticosterone:Zscore:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15289-9	11-Oxycorticosterone	COMPONENT	1663-4	11-Oxycorticosterone:MCnc:Pt:Ser:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36716-6	"15 Beta, 17 Alpha-Dihydroxypregnanolone"	COMPONENT	44277-2	"15 Beta, 17 Alpha-Dihydroxypregnanolone/Creatinine:MRto:Pt:Urine:Qn:"
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	43688-1	16-Alpha hydroxypregnenolone/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	44279-8	16-Alpha hydroxypregnenolone/16-Alpha hydroxydehydroepiandrosterone:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	74506-7	16-Alpha hydroxypregnenolone:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	74507-5	16-Alpha hydroxypregnenolone:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	74508-3	16-Alpha hydroxypregnenolone:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36718-2	16-Alpha hydroxypregnenolone	COMPONENT	81799-9	16-Alpha hydroxypregnenolone/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP175759-2	"16-Beta,18-dihydroxydehydroepiandrosterone"	COMPONENT	74503-4	"16-Beta,18-dihydroxydehydroepiandrosterone:SCnc:Pt:Urine:Qn:"
LP31653-6	Adrenal cortex hormones	COMPONENT	LP175759-2	"16-Beta,18-dihydroxydehydroepiandrosterone"	COMPONENT	74504-2	"16-Beta,18-dihydroxydehydroepiandrosterone:SCnc:24H:Urine:Qn:"
LP31653-6	Adrenal cortex hormones	COMPONENT	LP175759-2	"16-Beta,18-dihydroxydehydroepiandrosterone"	COMPONENT	74505-9	"16-Beta,18-dihydroxydehydroepiandrosterone:SRat:24H:Urine:Qn:"
LP31653-6	Adrenal cortex hormones	COMPONENT	LP175759-2	"16-Beta,18-dihydroxydehydroepiandrosterone"	COMPONENT	81802-1	"16-Beta,18-dihydroxydehydroepiandrosterone/Creatinine:SRto:Pt:Urine:Qn:"
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172793-4	16-Ketoandrostenediol	COMPONENT	73847-6	16-Ketoandrostenediol:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172793-4	16-Ketoandrostenediol	COMPONENT	73848-4	16-Ketoandrostenediol:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172793-4	16-Ketoandrostenediol	COMPONENT	73849-2	16-Ketoandrostenediol:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172793-4	16-Ketoandrostenediol	COMPONENT	81800-5	16-Ketoandrostenediol/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36720-8	17 alpha-Hydroxypregnanolone	COMPONENT	44280-6	17 alpha-Hydroxypregnanolone/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36720-8	17 alpha-Hydroxypregnanolone	COMPONENT	95574-0	17 alpha-Hydroxypregnanolone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP36720-8	17 alpha-Hydroxypregnanolone	COMPONENT	95575-7	17 alpha-Hydroxypregnanolone:Zscore:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	14568-0	17-Hydroxycorticosteroids:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	1664-2	17-Hydroxycorticosteroids:MCnc:Pt:Amnio fld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	1665-9	17-Hydroxycorticosteroids:MCnc:Pt:Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	1666-7	17-Hydroxycorticosteroids:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	21036-9	17-Hydroxycorticosteroids:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	6866-8	17-Hydroxycorticosteroids:MCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	25852-5	17-Hydroxycorticosteroids:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	34218-8	17-Hydroxycorticosteroids:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	34219-6	17-Hydroxycorticosteroids/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	38472-7	17-Hydroxycorticosteroids/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15290-7	17-Hydroxycorticosteroids	COMPONENT	41404-5	17-Hydroxycorticosteroids/Creatinine:MRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15291-5	17-Hydroxyketosteroids	COMPONENT	1667-5	17-Hydroxyketosteroids:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15291-5	17-Hydroxyketosteroids	COMPONENT	32152-1	17-Hydroxyketosteroids:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17184-0	17-Hydroxypregnenolone	COMPONENT	21037-7	17-Hydroxypregnenolone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17184-0	17-Hydroxypregnenolone	COMPONENT	25316-1	17-Hydroxypregnenolone:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17184-0	17-Hydroxypregnenolone	COMPONENT	6765-2	17-Hydroxypregnenolone:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17184-0	17-Hydroxypregnenolone	COMPONENT	16297-4	17-Hydroxypregnenolone:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP221170-6	17-Hydroxypregnenetriol	COMPONENT	83138-8	17-Hydroxypregnenetriol:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP221170-6	17-Hydroxypregnenetriol	COMPONENT	83139-6	17-Hydroxypregnenetriol/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP221170-6	17-Hydroxypregnenetriol	COMPONENT	83140-4	17-Hydroxypregnenetriol:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	27979-4	17-Ketogenic steroids:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	43726-9	17-Ketogenic steroids:PrThr:24H:Urine:Ord:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	50798-8	17-Ketogenic steroids:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	16300-6	17-Ketogenic steroids:MRat:72H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	1671-7	17-Ketogenic steroids:MCnc:Pt:Bld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	1672-5	17-Ketogenic steroids:MCnc:Pt:Bld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	1673-3	17-Ketogenic steroids:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15292-3	17-Ketogenic steroids	COMPONENT	27866-3	17-Ketogenic steroids:MCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	44281-4	17-Ketosteroids/Creatinine:MRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	47978-2	17-Ketosteroids:MCnc:Pt:Ser:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	6766-0	17-Ketosteroids:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	14572-2	17-Ketosteroids:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	21038-5	17-Ketosteroids:MCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	25317-9	17-Ketosteroids:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	33347-6	17-Ketosteroids/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	34222-0	17-Ketosteroids:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT	34223-8	17-Ketosteroids/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17185-7	17-Ketosteroids	COMPONENT		
LP17185-7	17-Ketosteroids	COMPONENT	LP18179-9	17-Ketosteroids.total neutral	COMPONENT	12769-6	17-Ketosteroids.total neutral:MRat:24H:Urine:Qn:
LP17185-7	17-Ketosteroids	COMPONENT	LP18179-9	17-Ketosteroids.total neutral	COMPONENT	29353-0	17-Ketosteroids.total neutral:MRat:12H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172797-5	18-Beta glycyrrhetinate	COMPONENT	73850-0	18-Beta glycyrrhetinate:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP172797-5	18-Beta glycyrrhetinate	COMPONENT	73851-8	18-Beta glycyrrhetinate:MCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP17186-5	18-Hydroxycorticosteroids	COMPONENT	6767-8	18-Hydroxycorticosteroids:MCnc:Pt:Ser:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15293-1	18-Hydroxycorticosterone	COMPONENT	1674-1	18-Hydroxycorticosterone:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15293-1	18-Hydroxycorticosterone	COMPONENT	9639-6	18-Hydroxycorticosterone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15293-1	18-Hydroxycorticosterone	COMPONENT	42573-6	18-Hydroxycorticosterone:MCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15293-1	18-Hydroxycorticosterone	COMPONENT	50082-7	18-Hydroxycorticosterone:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	14148-1	18-Hydroxycortisol:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	21039-3	18-Hydroxycortisol:MCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	27199-9	18-Hydroxycortisol/Creatinine:MRto:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	55810-6	18-Hydroxycortisol:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	55811-4	18-Hydroxycortisol:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18570-9	18-Hydroxycortisol	COMPONENT	55812-2	18-Hydroxycortisol:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15148-7	18-Hydroxydeoxycorticosterone	COMPONENT	11206-0	18-Hydroxydeoxycorticosterone:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15148-7	18-Hydroxydeoxycorticosterone	COMPONENT	26988-6	18-Hydroxydeoxycorticosterone:MRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP15148-7	18-Hydroxydeoxycorticosterone	COMPONENT	50081-9	18-Hydroxydeoxycorticosterone:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP18372-0	18-Hydroxydeoxycortisol	COMPONENT	13480-9	18-Hydroxydeoxycortisol/Creatinine:MRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP65144-5	21-Deoxycortisol	COMPONENT	50093-4	21-Deoxycortisol:SCnc:Pt:Amnio fld:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP65144-5	21-Deoxycortisol	COMPONENT	50250-0	21-Deoxycortisol:SCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP65144-5	21-Deoxycortisol	COMPONENT	53341-4	21-Deoxycortisol:MCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP65144-5	21-Deoxycortisol	COMPONENT	53342-2	21-Deoxycortisol:SCnc:Pt:Bld.dot:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP65144-5	21-Deoxycortisol	COMPONENT	74872-3	21-Deoxycortisol:MCnc:Pt:Ser/Plas:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP95079-7	Allo-tetrahydrocorticosterone	COMPONENT	73859-1	Allo-tetrahydrocorticosterone:SCnc:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP95079-7	Allo-tetrahydrocorticosterone	COMPONENT	73860-9	Allo-tetrahydrocorticosterone:SCnc:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP95079-7	Allo-tetrahydrocorticosterone	COMPONENT	73861-7	Allo-tetrahydrocorticosterone:SRat:24H:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP95079-7	Allo-tetrahydrocorticosterone	COMPONENT	81805-4	Allo-tetrahydrocorticosterone/Creatinine:SRto:Pt:Urine:Qn:
LP31653-6	Adrenal cortex hormones	COMPONENT	LP95079-7	Allo-tetrahydrocorticosterone	COMPONENT	55824-7	Allo-tetrahydrocorticosterone:MRat:24H:Urine:Qn:
