PartNumber	PartTypeName	PartName
LP173490-6	CHALLENGE	pre amniocentesis
LP173492-2	CHALLENGE	2nd specimen/Streptococcus pneumoniae 14 Ab
LP173496-3	CHALLENGE	1H post 250 ug cortrosyn IM
LP173497-1	CHALLENGE	30M post 250 ug cortrosyn IM
LP173498-9	CHALLENGE	pre 250 ug cortrosyn IM
LP173502-8	CHALLENGE	post dose cyanocobalamin+intrinsic factor/Cobalamins
LP173511-9	CHALLENGE	after addition of protein C activator+Factor V depleted plasma/Coagulation surface induced
LP173512-7	CHALLENGE	after addition of protein C activator/Coagulation surface induced
LP173514-3	CHALLENGE	pre/post XXX challenge
LP173515-0	CHALLENGE	immediately after addition of normal plasma/Coagulation surface induced
LP173516-8	CHALLENGE	20M post incubation.37 deg c after addition of normal plasma
LP173518-4	CHALLENGE	hemodialysis
LP174429-3	CHALLENGE	20M post dose corticotropin
LP174563-9	CHALLENGE	post therapeutic diet
LP175701-4	CHALLENGE	post question response
LP182313-9	CHALLENGE	immediately after 1:1 addition of normal plasma
LP183687-5	CHALLENGE	usual
LP184287-3	CHALLENGE	pre delivery
LP185815-0	CHALLENGE	1.25 mg/ml
LP185816-8	CHALLENGE	1.25 ug/ml
LP185818-4	CHALLENGE	1.6 mmol/L
LP186034-7	CHALLENGE	at discharge
LP186079-2	CHALLENGE	2nd tube
LP186080-0	CHALLENGE	3rd tube
LP186081-8	CHALLENGE	4th tube
LP186950-4	CHALLENGE	in microenvironment
LP187034-6	CHALLENGE	during respiratory pause
LP188666-4	CHALLENGE	negative inspiratory force maneuver
LP189724-0	CHALLENGE	1st tube
LP189877-6	CHALLENGE	1M post dose indocyanine green
LP189878-4	CHALLENGE	15M post dose indocyanine green
LP190643-9	CHALLENGE	124H post XXX challenge
LP190740-3	CHALLENGE	WO & W contrast IV
LP190766-8	CHALLENGE	Dibucaine
LP192107-3	CHALLENGE	Indocyanine green
LP192129-7	CHALLENGE	dibucaine/Cholinesterase
LP199196-9	CHALLENGE	24H post incubation
LP199198-5	CHALLENGE	24H post XXX challenge
LP199669-5	CHALLENGE	6 umol/L
LP200132-1	CHALLENGE	2H dwell specimen
LP200133-9	CHALLENGE	4H dwell specimen
LP200203-0	CHALLENGE	used for drug calculation
LP200240-2	CHALLENGE	post XXX g sugar solution PO
LP200254-3	CHALLENGE	pre procedure
LP200255-0	CHALLENGE	post procedure
LP200319-4	CHALLENGE	after addition of factor X activated
LP200464-8	CHALLENGE	1.25H post dose arginine+insulin
LP200591-8	CHALLENGE	best corrected
LP200592-6	CHALLENGE	uncorrected
LP200597-5	CHALLENGE	dark-adapted
LP200598-3	CHALLENGE	light-adapted
LP200612-2	CHALLENGE	W cycloplegia
LP200613-0	CHALLENGE	WO cycloplegia
LP201231-0	CHALLENGE	at initial diagnosis
LP201232-8	CHALLENGE	at final disease stage
LP201627-9	CHALLENGE	W indocyanine green IV
LP201628-7	CHALLENGE	W fluorescein IV
LP20165-4	CHALLENGE	2nd specimen
LP20166-2	CHALLENGE	1st specimen
LP20167-0	CHALLENGE	pre 250 ug corticotropin IM
LP20168-8	CHALLENGE	30M post 250 ug corticotropin IM
LP20169-6	CHALLENGE	1H post 250 ug corticotropin IM
LP20171-2	CHALLENGE	10H post 1 mg dexamethasone PO overnight
LP20172-0	CHALLENGE	17H post 1 mg dexamethasone PO overnight
LP20173-8	CHALLENGE	24H post 1 mg dexamethasone PO overnight
LP20175-3	CHALLENGE	peak
LP20176-1	CHALLENGE	trough
LP20177-9	CHALLENGE	0.0% sodium chloride
LP20178-7	CHALLENGE	0.30% sodium chloride
LP20179-5	CHALLENGE	0.35% sodium chloride
LP20180-3	CHALLENGE	0.40% sodium chloride
LP20181-1	CHALLENGE	0.45% sodium chloride
LP20182-9	CHALLENGE	0.50% sodium chloride
LP20183-7	CHALLENGE	0.55% sodium chloride
LP20184-5	CHALLENGE	0.60% sodium chloride
LP20185-2	CHALLENGE	0.65% sodium chloride
LP20186-0	CHALLENGE	0.85% sodium chloride
LP20189-4	CHALLENGE	0.75% sodium chloride
LP20190-2	CHALLENGE	2H post peritoneal dialysis
LP20191-0	CHALLENGE	4H post peritoneal dialysis
LP20192-8	CHALLENGE	20M post dose TRH
LP20193-6	CHALLENGE	baseline
LP20194-4	CHALLENGE	1st specimen post XXX challenge
LP20196-9	CHALLENGE	1H post meal
LP20197-7	CHALLENGE	post 10H CFst
LP20198-5	CHALLENGE	post 12H CFst
LP20199-3	CHALLENGE	1H post 25 g xylose PO
LP20200-9	CHALLENGE	1H post dose xylose PO
LP20201-7	CHALLENGE	2H post 25 g xylose PO
LP20202-5	CHALLENGE	30M post 25 g xylose PO
LP20203-3	CHALLENGE	post 6H CFst
LP20204-1	CHALLENGE	post ejaculation
LP20205-8	CHALLENGE	post coitus
LP20206-6	CHALLENGE	15M post 50 g lactose PO
LP20207-4	CHALLENGE	7H post 75 g glucose PO
LP20208-2	CHALLENGE	3H post 25 g xylose PO
LP20209-0	CHALLENGE	4H post 25 g xylose PO
LP20210-8	CHALLENGE	5H post 25 g xylose PO
LP20213-2	CHALLENGE	2.5H post 75 g glucose PO
LP20214-0	CHALLENGE	3.5H post 75 g glucose PO
LP20215-7	CHALLENGE	4.5H post 75 g glucose PO
LP20216-5	CHALLENGE	45M post 50 g lactose PO
LP20217-3	CHALLENGE	45M post dose TRH IV
LP20218-1	CHALLENGE	post dialysis
LP20219-9	CHALLENGE	pre dialysis
LP20220-7	CHALLENGE	15M post 100 g glucose PO
LP20221-5	CHALLENGE	45M post 100 g glucose PO
LP20222-3	CHALLENGE	post immediate spin
LP20223-1	CHALLENGE	9H post 3 g metyraPONE PO overnight
LP20224-9	CHALLENGE	pre 3 g metyraPONE PO overnight
LP20225-6	CHALLENGE	8H post 30 mg/kg metyraPONE PO
LP20226-4	CHALLENGE	post 750 mg metyraPONE q4h X 6
LP20228-0	CHALLENGE	1H post 1 ug/kg CRH IV
LP20229-8	CHALLENGE	1H post dose insulin IV
LP20230-6	CHALLENGE	1M post 1 ug/kg CRH IV
LP20231-4	CHALLENGE	30M post 1 ug/kg CRH IV
LP20232-2	CHALLENGE	30M post dose insulin IV
LP20233-0	CHALLENGE	45M post 1 ug/kg CRH IV
LP20234-8	CHALLENGE	45M post dose insulin IV
LP20235-5	CHALLENGE	5M post 1 ug/kg CRH IV
LP20236-3	CHALLENGE	pre 1 ug/kg CRH IV
LP20237-1	CHALLENGE	pre dose insulin IV
LP20238-9	CHALLENGE	post dose PO
LP20239-7	CHALLENGE	post 15000 U carotene QDx3 for 3D poly
LP20240-5	CHALLENGE	90s post 0.5 ug/kg pentagastrin IV
LP20241-3	CHALLENGE	10M post 2.4 mg/kg calcium short IV
LP20242-1	CHALLENGE	3H post 15 mg/kg calcium gluconate IV
LP20243-9	CHALLENGE	4H post 15 mg/kg calcium gluconate IV
LP20244-7	CHALLENGE	5M post 0.5 ug/kg pentagastrin IV
LP20245-4	CHALLENGE	5M post 2.4 mg/kg calcium short IV
LP20246-2	CHALLENGE	pre 0.5 ug/kg pentagastrin IV
LP20247-0	CHALLENGE	pre 2.4 mg/kg calcium short IV
LP20248-8	CHALLENGE	post calcium infusion
LP20249-6	CHALLENGE	1H post 300 ug cloNIDine PO
LP20250-4	CHALLENGE	2H post 300 ug cloNIDine PO
LP20251-2	CHALLENGE	3H post 300 ug cloNIDine PO
LP20252-0	CHALLENGE	pre 300 ug cloNIDine PO
LP20253-8	CHALLENGE	24H post 40 ug corticotropin IM BID 3 day
LP20254-6	CHALLENGE	48H post 40 ug corticotropin IM BID 3 day
LP20255-3	CHALLENGE	48H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20257-9	CHALLENGE	72H post 40 ug corticotropin IM BID 3 day
LP20258-7	CHALLENGE	pre 50 ug corticotropin IM 3 day
LP20259-5	CHALLENGE	pre 500 ug dexamethasone PO 2.5 day low dose q6h
LP20260-3	CHALLENGE	pre 2 mg dexamethasone PO 2.5 day high dose q6h
LP20262-9	CHALLENGE	1H post 0.05-0.15 U insulin/kg IV post 12H CFst
LP20263-7	CHALLENGE	1H post 250 ug corticotropin IM rapid
LP20264-5	CHALLENGE	1H post 250 ug corticotropin IV rapid
LP20266-0	CHALLENGE	24H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20267-8	CHALLENGE	24H post 500 ug corticotropin IM
LP20268-6	CHALLENGE	24H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20269-4	CHALLENGE	26H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20270-2	CHALLENGE	26H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20271-0	CHALLENGE	2D post 500 ug corticotropin IM
LP20272-8	CHALLENGE	30M post 0.05-0.15 U insulin/kg IV post 12H CFst
LP20273-6	CHALLENGE	30M post 250 ug corticotropin IM rapid
LP20274-4	CHALLENGE	30M post 250 ug corticotropin IV rapid
LP20275-1	CHALLENGE	32H post 40 ug corticotropin IM BID 3 day
LP20276-9	CHALLENGE	3D post 500 ug corticotropin IM
LP20277-7	CHALLENGE	48H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20279-3	CHALLENGE	50H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20280-1	CHALLENGE	50H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20281-9	CHALLENGE	56H post 40 ug corticotropin IM BID 3 day
LP20282-7	CHALLENGE	72H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20283-5	CHALLENGE	72H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20284-3	CHALLENGE	8H post 1 mg dexamethasone PO overnight
LP20285-0	CHALLENGE	8H post 2 mg dexamethasone PO 2.5 day high dose q6h
LP20286-8	CHALLENGE	8H post 500 ug dexamethasone PO 2.5 day low dose q6h
LP20287-6	CHALLENGE	8H post 40 ug corticotropin IM BID 3 day
LP20288-4	CHALLENGE	9.5H post 8 mg dexamethasone PO overnight high dose
LP20289-2	CHALLENGE	9H post 1 mg dexamethasone PO overnight
LP20290-0	CHALLENGE	9H post 8 mg dexamethasone PO overnight high dose
LP202916-5	CHALLENGE	overnight dwell
LP20291-8	CHALLENGE	pre 12H CFst
LP20292-6	CHALLENGE	pre 1 mg dexamethasone PO overnight
LP20293-4	CHALLENGE	pre 40 ug corticotropin IM 3 day
LP20294-2	CHALLENGE	pre 8 mg dexamethasone PO overnight high dose
LP20296-7	CHALLENGE	supine
LP20309-8	CHALLENGE	1.5H post 40 g galactose PO
LP20310-6	CHALLENGE	1H post 40 g galactose PO
LP20311-4	CHALLENGE	2H post 40 g galactose PO
LP20312-2	CHALLENGE	30M post 40 g galactose PO
LP20313-0	CHALLENGE	post 40 g dose PO
LP20314-8	CHALLENGE	10M post 0.2 U/kg secretin
LP20315-5	CHALLENGE	15M post 0.2 U/kg secretin
LP20316-3	CHALLENGE	20M post 0.2 U/kg secretin
LP20317-1	CHALLENGE	25M post 0.2 U/kg secretin
LP20318-9	CHALLENGE	30M post 0.2 U/kg secretin
LP20319-7	CHALLENGE	5M post 0.2 U/kg secretin
LP20320-5	CHALLENGE	pre 0.2 U/kg secretin
LP20321-3	CHALLENGE	30M post 100 g glucose PO
LP20322-1	CHALLENGE	1.5H post 0.5 g/kg glucose IV
LP20323-9	CHALLENGE	1.5H post 100 g glucose PO
LP20324-7	CHALLENGE	1.5H post 75 g glucose PO
LP20325-4	CHALLENGE	10M post 0.5 g/kg glucose IV
LP20326-2	CHALLENGE	1H post 0.5 g/kg glucose IV
LP20327-0	CHALLENGE	1H post 100 g glucose PO
LP20328-8	CHALLENGE	1H post 50 g glucose PO
LP20329-6	CHALLENGE	1H post 50 g lactose PO
LP20330-4	CHALLENGE	1H post 75 g glucose PO
LP20331-2	CHALLENGE	1M post 0.5 g/kg glucose IV
LP20332-0	CHALLENGE	20M post 0.5 g/kg glucose IV
LP20333-8	CHALLENGE	2H post 100 g glucose PO
LP20334-6	CHALLENGE	2H post 50 g lactose PO
LP20335-3	CHALLENGE	2H post 75 g glucose PO
LP20336-1	CHALLENGE	2H post meal
LP20337-9	CHALLENGE	30M post 0.5 g/kg glucose IV
LP20338-7	CHALLENGE	30M post 0.1 U/kg insulin
LP20339-5	CHALLENGE	30M post 50 g lactose PO
LP20340-3	CHALLENGE	30M post 75 g glucose PO
LP20341-1	CHALLENGE	3H post 100 g glucose PO
LP20342-9	CHALLENGE	3H post 75 g glucose PO
LP20343-7	CHALLENGE	3M post 0.5 g/kg glucose IV
LP20344-5	CHALLENGE	40M post 0.5 g/kg glucose IV
LP20345-2	CHALLENGE	4H post 100 g glucose PO
LP20346-0	CHALLENGE	4H post 75 g glucose PO
LP20347-8	CHALLENGE	5H post 100 g glucose PO
LP20348-6	CHALLENGE	5H post 75 g glucose PO
LP20349-4	CHALLENGE	5M post 0.5 g/kg glucose IV
LP20350-2	CHALLENGE	6H post 100 g glucose PO
LP20351-0	CHALLENGE	pre 0.5 g/kg glucose IV
LP20352-8	CHALLENGE	pre 100 g glucose PO
LP20353-6	CHALLENGE	pre 50 g lactose PO
LP20354-4	CHALLENGE	pre 75 g glucose PO
LP20355-1	CHALLENGE	post CFst
LP20356-9	CHALLENGE	1.5H post dose TOLBUTamide IV
LP20357-7	CHALLENGE	1H post dose TOLBUTamide IV
LP20358-5	CHALLENGE	2.5H post dose TOLBUTamide IV
LP20359-3	CHALLENGE	2H post dose TOLBUTamide IV
LP20360-1	CHALLENGE	30M post dose TOLBUTamide IV
LP20361-9	CHALLENGE	3H post dose TOLBUTamide IV
LP203623-6	CHALLENGE	Dwell
LP20362-7	CHALLENGE	pre dose TOLBUTamide IV
LP20363-5	CHALLENGE	post EDTA therapy
LP20365-0	CHALLENGE	105M post 100 g lutropin IV
LP20366-8	CHALLENGE	15M post 100 g lutropin IV
LP20367-6	CHALLENGE	1H post 100 g lutropin IV
LP20368-4	CHALLENGE	1H post dose gonadotropin releasing hormone
LP20369-2	CHALLENGE	2H post 100 g lutropin IV
LP20370-0	CHALLENGE	2H post dose gonadotropin releasing hormone
LP20371-8	CHALLENGE	30M post 100 g lutropin IV
LP20372-6	CHALLENGE	30M post dose gonadotropin releasing hormone
LP20373-4	CHALLENGE	45M post 100 g lutropin IV
LP20374-2	CHALLENGE	75M post 100 g lutropin IV
LP20375-9	CHALLENGE	pre dose gonadotropin releasing hormone
LP20376-7	CHALLENGE	10M post standing
LP20377-5	CHALLENGE	post 12H FFst
LP20378-3	CHALLENGE	post 8H FFst
LP20379-1	CHALLENGE	1H post dose L-dopa PO
LP20380-9	CHALLENGE	1H post dose TRH IV
LP20381-7	CHALLENGE	2H post dose L-dopa PO
LP20382-5	CHALLENGE	30M post dose TRH IV
LP20383-3	CHALLENGE	3H post dose L-dopa PO
LP20384-1	CHALLENGE	pre dose L-dopa PO
LP20385-8	CHALLENGE	pre dose TRH IV
LP20386-6	CHALLENGE	5H post 600 ug furosemide PO
LP20387-4	CHALLENGE	pre 600 ug furosemide PO
LP20388-2	CHALLENGE	3H post 5000 units
LP20389-0	CHALLENGE	6H post 5000 units
LP20390-8	CHALLENGE	pre 5000 units
LP20391-6	CHALLENGE	1H post 1 g/kg glucose PO
LP20392-4	CHALLENGE	2H post 1 g/kg glucose PO
LP20393-2	CHALLENGE	3H post 1 g/kg glucose PO
LP20394-0	CHALLENGE	52H post 250 ug L-dopa TID 2day PO
LP20395-7	CHALLENGE	pre 1 g/kg glucose PO
LP20396-5	CHALLENGE	pre 250 ug L-dopa TID 2day PO
LP20397-3	CHALLENGE	96H post 5000 U HCG IM
LP20398-1	CHALLENGE	pre 5000 U HCG IM
LP20400-5	CHALLENGE	3D post 25 TU ID
LP20401-3	CHALLENGE	3D post 5 TU ID
LP20402-1	CHALLENGE	upright
LP20403-9	CHALLENGE	post 50 g glucose PO
LP20405-4	CHALLENGE	random
LP20406-2	CHALLENGE	trough >12h post dose
LP20407-0	CHALLENGE	12H post dose
LP20408-8	CHALLENGE	24H post dose
LP20409-6	CHALLENGE	>6h post dose
LP20410-4	CHALLENGE	>12h post dose
LP20411-2	CHALLENGE	>45m post bolus dose
LP20412-0	CHALLENGE	1-2W post dose
LP20413-8	CHALLENGE	48H post dose
LP20414-6	CHALLENGE	72H post dose
LP20417-9	CHALLENGE	3D post 50 ug Candida albicans ID
LP20418-7	CHALLENGE	3D post 0.1 mL mumps ID
LP20419-5	CHALLENGE	3D post 50 ug trichophyton ID
LP20420-3	CHALLENGE	immediately after addition of normal plasma
LP20422-9	CHALLENGE	20M post venistasis
LP20423-7	CHALLENGE	10M post venistasis
LP20426-0	CHALLENGE	6H post 75 g glucose PO
LP20428-6	CHALLENGE	2.5H post 100 g glucose PO
LP20429-4	CHALLENGE	3.5H post 100 g glucose PO
LP20430-2	CHALLENGE	4.5H post 100 g glucose PO
LP20431-0	CHALLENGE	5.5H post 100 g glucose PO
LP20432-8	CHALLENGE	6H post 500 mg bentiromide PO
LP20433-6	CHALLENGE	2H post 250 ug corticotropin IM
LP20434-4	CHALLENGE	45M post 250 ug corticotropin IM
LP20435-1	CHALLENGE	1.5H post 250 ug corticotropin IM
LP20436-9	CHALLENGE	evening specimen
LP20437-7	CHALLENGE	morning specimen
LP20438-5	CHALLENGE	12H post peritoneal dialysis
LP20442-7	CHALLENGE	post vasectomy
LP20443-5	CHALLENGE	1H post XXX challenge
LP20444-3	CHALLENGE	2H post XXX challenge
LP20445-0	CHALLENGE	3H post XXX challenge
LP20446-8	CHALLENGE	2nd specimen post XXX challenge
LP20447-6	CHALLENGE	3rd specimen post XXX challenge
LP20448-4	CHALLENGE	4th specimen post XXX challenge
LP20449-2	CHALLENGE	5th specimen post XXX challenge
LP20450-0	CHALLENGE	6th specimen post XXX challenge
LP20451-8	CHALLENGE	7th specimen post XXX challenge
LP20452-6	CHALLENGE	8th specimen post XXX challenge
LP20453-4	CHALLENGE	4th specimen
LP20454-2	CHALLENGE	5th specimen
LP20455-9	CHALLENGE	4H post XXX challenge
LP20456-7	CHALLENGE	9th specimen post XXX challenge
LP20457-5	CHALLENGE	10th specimen post XXX challenge
LP20458-3	CHALLENGE	30M post XXX challenge
LP20459-1	CHALLENGE	20M post XXX challenge
LP20460-9	CHALLENGE	2.5H post XXX challenge
LP20461-7	CHALLENGE	post XXX challenge
LP20462-5	CHALLENGE	2H specimen
LP20463-3	CHALLENGE	4H specimen
LP20464-1	CHALLENGE	24H specimen
LP20465-8	CHALLENGE	3rd specimen
LP20466-6	CHALLENGE	6th specimen
LP20467-4	CHALLENGE	7th specimen
LP20468-2	CHALLENGE	8th specimen
LP20470-8	CHALLENGE	7H post meal
LP20471-6	CHALLENGE	11th specimen post XXX challenge
LP20472-4	CHALLENGE	12th specimen post XXX challenge
LP20473-2	CHALLENGE	13th specimen post XXX challenge
LP20474-0	CHALLENGE	14th specimen post XXX challenge
LP20475-7	CHALLENGE	15th specimen post XXX challenge
LP20477-3	CHALLENGE	15M post XXX challenge
LP20478-1	CHALLENGE	6.5H post XXX challenge
LP20479-9	CHALLENGE	7H post XXX challenge
LP20480-7	CHALLENGE	7.5H post XXX challenge
LP20481-5	CHALLENGE	8H post XXX challenge
LP20482-3	CHALLENGE	9H post XXX challenge
LP20483-1	CHALLENGE	10H post XXX challenge
LP20484-9	CHALLENGE	12H post XXX challenge
LP20485-6	CHALLENGE	15M post dose lactose PO
LP20486-4	CHALLENGE	6th specimen post dose lactose
LP20487-2	CHALLENGE	3.5H post dose lactose PO
LP20488-0	CHALLENGE	10M pre XXX challenge
LP20489-8	CHALLENGE	2M post XXX challenge
LP20490-6	CHALLENGE	8M post XXX challenge
LP20491-4	CHALLENGE	10M post XXX challenge
LP20492-2	CHALLENGE	4M post XXX challenge
LP20493-0	CHALLENGE	40M post XXX challenge
LP20494-8	CHALLENGE	50M post XXX challenge
LP20495-5	CHALLENGE	70M post XXX challenge
LP20496-3	CHALLENGE	15M pre XXX challenge
LP20498-9	CHALLENGE	pre XXX challenge
LP20499-7	CHALLENGE	45M post XXX challenge
LP20500-2	CHALLENGE	3.5H post XXX challenge
LP20501-0	CHALLENGE	4.5H post XXX challenge
LP20502-8	CHALLENGE	5.5H post XXX challenge
LP20503-6	CHALLENGE	11H post XXX challenge
LP20505-1	CHALLENGE	19M post XXX challenge
LP20506-9	CHALLENGE	22M post XXX challenge
LP20507-7	CHALLENGE	1.5H post XXX challenge
LP20509-3	CHALLENGE	70M specimen
LP20510-1	CHALLENGE	5H post XXX challenge
LP20511-9	CHALLENGE	6H post XXX challenge
LP20517-6	CHALLENGE	15M post 250 ug corticotropin
LP20518-4	CHALLENGE	1H post 250 ug corticotropin
LP20519-2	CHALLENGE	30M post 250 ug corticotropin
LP20520-0	CHALLENGE	3H post 50 g lactose PO
LP20521-8	CHALLENGE	4H post 50 g lactose PO
LP20523-4	CHALLENGE	1H post 25 mg captopril PO
LP20524-2	CHALLENGE	2H post 25 mg captopril PO
LP20525-9	CHALLENGE	10M post 1 mg glucagon IV
LP20526-7	CHALLENGE	15M post 1 mg glucagon IV
LP20527-5	CHALLENGE	5M post 1 mg glucagon IV
LP20529-1	CHALLENGE	2.5H post 50 g lactose PO
LP20530-9	CHALLENGE	5H post 50 g lactose PO
LP20531-7	CHALLENGE	1.5H post dose TRH IV
LP20532-5	CHALLENGE	15M post dose TRH IV
LP20533-3	CHALLENGE	2H post dose TRH IV
LP20534-1	CHALLENGE	5.5H post 75 g glucose PO
LP20537-4	CHALLENGE	2M post 0.2 U/kg secretin
LP20538-2	CHALLENGE	1.5H post 50 g lactose PO
LP20548-1	CHALLENGE	immediately after 1:4 addition of normal plasma
LP20555-6	CHALLENGE	post dose
LP20556-4	CHALLENGE	1.5M post XXX challenge
LP20557-2	CHALLENGE	5M post XXX challenge
LP20558-0	CHALLENGE	1M post XXX challenge
LP20560-6	CHALLENGE	80M post XXX challenge
LP20561-4	CHALLENGE	105M post XXX challenge
LP20562-2	CHALLENGE	25M post XXX challenge
LP20563-0	CHALLENGE	post meal
LP20571-3	CHALLENGE	post dose glucose
LP20573-9	CHALLENGE	75M post XXX challenge
LP20574-7	CHALLENGE	standing
LP20575-4	CHALLENGE	3H post dose
LP20576-2	CHALLENGE	6H post dose
LP20577-0	CHALLENGE	52H post XXX challenge
LP20578-8	CHALLENGE	30M post collection
LP20587-9	CHALLENGE	4D post XXX challenge
LP20588-7	CHALLENGE	post dose TRH
LP20589-5	CHALLENGE	post 8H CFst
LP20597-8	CHALLENGE	post partum
LP20599-4	CHALLENGE	pre partum
LP20601-8	CHALLENGE	6H post 50 g lactose PO
LP20602-6	CHALLENGE	12H post 50 g lactose PO
LP20609-1	CHALLENGE	2H post dose glucose
LP20610-9	CHALLENGE	3H post dose glucose
LP20611-7	CHALLENGE	1H post dose glucose
LP20612-5	CHALLENGE	30M post dose glucose
LP20614-1	CHALLENGE	post 50 g glucose
LP20615-8	CHALLENGE	1H post dose corticotropin
LP20619-0	CHALLENGE	11 PM specimen
