# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/ 
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2022-02-23'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	predicate_id	object_id	object_label	mapping_justification
loinc:LP101128-9	skos:exactMatch	CHEBI:83569	pendimethalin	sempav:HumanCuration
loinc:LP101130-5	skos:exactMatch	CHEBI:35549	perfluorooctanoic acid	sempav:HumanCuration
loinc:LP101131-3	skos:exactMatch	CHEBI:9331	sulfamethizole	sempav:HumanCuration
loinc:LP101132-1	skos:exactMatch	CHEBI:38954	temephos	sempav:HumanCuration
loinc:LP101133-9	skos:exactMatch	CHEBI:9445	terazosin	sempav:HumanCuration
loinc:LP101134-7	skos:exactMatch	CHEBI:9544	thiethylperazine	sempav:HumanCuration
loinc:LP101135-4	skos:exactMatch	CHEBI:9682	trichlopyr	sempav:HumanCuration
loinc:LP101194-1	skos:exactMatch	CHEBI:6838	methotrimeprazine	sempav:HumanCuration
loinc:LP101460-6	skos:exactMatch	CHEBI:78206	fatty acid ethyl ester	sempav:HumanCuration
loinc:LP102316-9	skos:exactMatch	CHEBI:8435	prochlorperazine	sempav:HumanCuration
loinc:LP102418-3	skos:exactMatch	CHEBI:82960	raltegravir	sempav:HumanCuration
loinc:LP111163-4	skos:exactMatch	CHEBI:17823	calcitriol	sempav:HumanCuration
loinc:LP111164-2	skos:exactMatch	CHEBI:86320	1alpha,25-dihydroxyvitamin D2	sempav:HumanCuration
loinc:LP113963-5	skos:exactMatch	CHEBI:18319	SAICAR	sempav:HumanCuration
loinc:LP121381-0	skos:exactMatch	CHEBI:6804	methacholine	sempav:HumanCuration
loinc:LP130276-1	skos:exactMatch	CHEBI:67201	synthetic cannabinoid	sempav:HumanCuration
loinc:LP134005-0	skos:exactMatch	CHEBI:59331	mephedrone	sempav:HumanCuration
loinc:LP135443-2	skos:exactMatch	CHEBI:68606	rilpivirine	sempav:HumanCuration
loinc:LP135650-2	skos:exactMatch	CHEBI:68579	rivaroxaban	sempav:HumanCuration
loinc:LP135651-0	skos:exactMatch	CHEBI:70752	dabigatran	sempav:HumanCuration
loinc:LP14041-5	skos:exactMatch	CHEBI:17026	progesterone	sempav:HumanCuration
loinc:LP14045-6	skos:exactMatch	CHEBI:17347	testosterone	sempav:HumanCuration
loinc:LP14071-2	skos:exactMatch	CHEBI:16134	ammonia	sempav:HumanCuration
loinc:LP14084-5	skos:exactMatch	CHEBI:17574	biochanin A	sempav:HumanCuration
loinc:LP14091-0	skos:exactMatch	CHEBI:15858	bromide	sempav:HumanCuration
loinc:LP14106-6	skos:exactMatch	CHEBI:30742	ethylene glycol	sempav:HumanCuration
loinc:LP14118-1	skos:exactMatch	CHEBI:87185	florfenicol	sempav:HumanCuration
loinc:LP14120-7	skos:exactMatch	CHEBI:38224	fumonisin	sempav:HumanCuration
loinc:LP14121-5	skos:exactMatch	CHEBI:28088	genistein	sempav:HumanCuration
loinc:LP14123-1	skos:exactMatch	CHEBI:28584	gossypol	sempav:HumanCuration
loinc:LP14161-1	skos:exactMatch	CHEBI:17650	cortisol	sempav:HumanCuration
loinc:LP14176-9	skos:exactMatch	CHEBI:3478	cefaclor	sempav:HumanCuration
loinc:LP14189-2	skos:exactMatch	CHEBI:474859	maleic anhydride	sempav:HumanCuration
loinc:LP14257-7	skos:exactMatch	CHEBI:5631	Heavy metal	sempav:HumanCuration
loinc:LP14259-3	skos:exactMatch	CHEBI:25016	lead atom	sempav:HumanCuration
loinc:LP14261-9	skos:exactMatch	CHEBI:81931	Metaldehyde	sempav:HumanCuration
loinc:LP14269-2	skos:exactMatch	CHEBI:17632	nitrate	sempav:HumanCuration
loinc:LP14270-0	skos:exactMatch	CHEBI:16301	nitrite	sempav:HumanCuration
loinc:LP14272-6	skos:exactMatch	CHEBI:25944	pesticide	sempav:HumanCuration
loinc:LP14283-3	skos:exactMatch	CHEBI:27568	selenium atom	sempav:HumanCuration
loinc:LP14284-1	skos:exactMatch	CHEBI:28973	strychnine	sempav:HumanCuration
loinc:LP14288-2	skos:exactMatch	CHEBI:16199	urea	sempav:HumanCuration
loinc:LP14295-7	skos:exactMatch	CHEBI:2953	azinphos-methyl	sempav:HumanCuration
loinc:LP14301-3	skos:exactMatch	CHEBI:28119	2,3,7,8-tetrachlorodibenzodioxine	sempav:HumanCuration
loinc:LP14319-5	skos:exactMatch	CHEBI:17334	penicillin	sempav:HumanCuration
loinc:LP14324-5	skos:exactMatch	CHEBI:81540	trans-Nonachlor	sempav:HumanCuration
loinc:LP14333-6	skos:exactMatch	CHEBI:22359	alloisoleucine	sempav:HumanCuration
loinc:LP14335-1	skos:exactMatch	CHEBI:89912	Heptacarboxylporphyrin I	sempav:HumanCuration
loinc:LP14342-7	skos:exactMatch	CHEBI:6104	kanamycin	sempav:HumanCuration
loinc:LP14343-5	skos:exactMatch	CHEBI:25107	magnesium atom	sempav:HumanCuration
loinc:LP14344-3	skos:exactMatch	CHEBI:25195	mercury atom	sempav:HumanCuration
loinc:LP14346-8	skos:exactMatch	CHEBI:4975	famotidine	sempav:HumanCuration
loinc:LP14347-6	skos:exactMatch	CHEBI:6649	malaoxon	sempav:HumanCuration
loinc:LP14348-4	skos:exactMatch	CHEBI:16236	ethanol	sempav:HumanCuration
loinc:LP14349-2	skos:exactMatch	CHEBI:17790	methanol	sempav:HumanCuration
loinc:LP14350-0	skos:exactMatch	CHEBI:23012	carbon disulfide	sempav:HumanCuration
loinc:LP14351-8	skos:exactMatch	CHEBI:62932	mycophenolate	sempav:HumanCuration
loinc:LP14353-4	skos:exactMatch	CHEBI:2618	amantadine	sempav:HumanCuration
loinc:LP14354-2	skos:exactMatch	CHEBI:17741	N,N-dimethylformamide	sempav:HumanCuration
loinc:LP14355-9	skos:exactMatch	CHEBI:16737	creatinine	sempav:HumanCuration
loinc:LP14357-5	skos:exactMatch	CHEBI:31622	Flunitrazepam	sempav:HumanCuration
loinc:LP14368-2	skos:exactMatch	CHEBI:27638	cobalt atom	sempav:HumanCuration
loinc:LP14369-0	skos:exactMatch	CHEBI:27727	androstane-3,17-diol	sempav:HumanCuration
loinc:LP14370-8	skos:exactMatch	CHEBI:89886	2-Methoxy-4-methylphenol	sempav:HumanCuration
loinc:LP14372-4	skos:exactMatch	CHEBI:27609	coproporphyrin III	sempav:HumanCuration
loinc:LP14374-0	skos:exactMatch	CHEBI:17854	cyclohexanone	sempav:HumanCuration
loinc:LP14375-7	skos:exactMatch	CHEBI:17824	propan-2-ol	sempav:HumanCuration
loinc:LP14376-5	skos:exactMatch	CHEBI:5100	flucytosine	sempav:HumanCuration
loinc:LP14377-3	skos:exactMatch	CHEBI:27584	aldosterone	sempav:HumanCuration
loinc:LP14378-1	skos:exactMatch	CHEBI:64276	glutaraldehyde	sempav:HumanCuration
loinc:LP14379-9	skos:exactMatch	CHEBI:81526	Endrin	sempav:HumanCuration
loinc:LP14381-5	skos:exactMatch	CHEBI:5118	fluoxetine	sempav:HumanCuration
loinc:LP14435-9	skos:exactMatch	CHEBI:45367	rifabutin	sempav:HumanCuration
loinc:LP14463-1	skos:exactMatch	CHEBI:89633	Metanephrine	sempav:HumanCuration
loinc:LP14466-4	skos:exactMatch	CHEBI:63621	saquinavir	sempav:HumanCuration
loinc:LP14467-2	skos:exactMatch	CHEBI:89633	Metanephrine	sempav:HumanCuration
loinc:LP14468-0	skos:exactMatch	CHEBI:77273	11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol	sempav:HumanCuration
loinc:LP14480-5	skos:exactMatch	CHEBI:137527	Valerylglycine	sempav:HumanCuration
loinc:LP14481-3	skos:exactMatch	CHEBI:17381	porphobilinogen	sempav:HumanCuration
loinc:LP14482-1	skos:exactMatch	CHEBI:17126	carnitine	sempav:HumanCuration
loinc:LP14485-4	skos:exactMatch	CHEBI:89510	Deoxypyridinoline	sempav:HumanCuration
loinc:LP14487-0	skos:exactMatch	CHEBI:81567	thyroid stimulating hormone	sempav:HumanCuration
loinc:LP14488-8	skos:exactMatch	CHEBI:35366	fatty acid	sempav:HumanCuration
loinc:LP14490-4	skos:exactMatch	CHEBI:60924	keratan sulfate	sempav:HumanCuration
loinc:LP14491-2	skos:exactMatch	CHEBI:37397	chondroitin sulfate	sempav:HumanCuration
loinc:LP14493-8	skos:exactMatch	CHEBI:22552	androstenedione	sempav:HumanCuration
loinc:LP14497-9	skos:exactMatch	CHEBI:23965	estradiol	sempav:HumanCuration
loinc:LP14499-5	skos:exactMatch	CHEBI:81569	Follicle stimulating hormone	sempav:HumanCuration
loinc:LP14500-0	skos:exactMatch	CHEBI:18088	formononetin	sempav:HumanCuration
loinc:LP14503-4	skos:exactMatch	CHEBI:23115	chlorohydrocarbon	sempav:HumanCuration
loinc:LP14511-7	skos:exactMatch	CHEBI:86366	N-(2-methylbutanoyl)glycine	sempav:HumanCuration
loinc:LP14512-5	skos:exactMatch	CHEBI:68499	3-methylcrotonyl glycine	sempav:HumanCuration
loinc:LP14513-3	skos:exactMatch	CHEBI:89963	butyrylglycine	sempav:HumanCuration
loinc:LP14514-1	skos:exactMatch	CHEBI:64390	N-hexanoylglycine	sempav:HumanCuration
loinc:LP14515-8	skos:exactMatch	CHEBI:70979	N-isobutyrylglycine	sempav:HumanCuration
loinc:LP14516-6	skos:exactMatch	CHEBI:70984	N-isovalerylglycine	sempav:HumanCuration
loinc:LP14517-4	skos:exactMatch	CHEBI:88550	Phenylpropionylglycine	sempav:HumanCuration
loinc:LP14518-2	skos:exactMatch	CHEBI:89836	propionylglycine	sempav:HumanCuration
loinc:LP14519-0	skos:exactMatch	CHEBI:88811	Suberylglycine	sempav:HumanCuration
loinc:LP14520-8	skos:exactMatch	CHEBI:73018	tiglylglycine	sempav:HumanCuration
loinc:LP14522-4	skos:exactMatch	CHEBI:2453	acyclovir	sempav:HumanCuration
loinc:LP14523-2	skos:exactMatch	CHEBI:51208	mecillinam	sempav:HumanCuration
loinc:LP14524-0	skos:exactMatch	CHEBI:3493	cefoperazone	sempav:HumanCuration
loinc:LP145287-1	skos:exactMatch	CHEBI:189669	2,5-dimethoxy-4-bromophenethylamine	sempav:HumanCuration
loinc:LP14536-4	skos:exactMatch	CHEBI:25805	oxygen atom	sempav:HumanCuration
loinc:LP14546-3	skos:exactMatch	CHEBI:22693	barbiturates	sempav:HumanCuration
loinc:LP14548-9	skos:exactMatch	CHEBI:6965	Molindone	sempav:HumanCuration
loinc:LP14550-5	skos:exactMatch	CHEBI:9332	sulfamethoxazole	sempav:HumanCuration
loinc:LP14551-3	skos:exactMatch	CHEBI:9435	Temazepam	sempav:HumanCuration
loinc:LP14552-1	skos:exactMatch	CHEBI:9652	tranylcypromine	sempav:HumanCuration
loinc:LP14553-9	skos:exactMatch	CHEBI:9720	Trihexyphenidyl	sempav:HumanCuration
loinc:LP14564-6	skos:exactMatch	CHEBI:68641	(-)-cotinine	sempav:HumanCuration
loinc:LP14566-1	skos:exactMatch	CHEBI:8058	phencyclidine	sempav:HumanCuration
loinc:LP145733-4	skos:relatedMatch	CHEBI:64646	amyloid-β polypeptide 40	sempav:HumanCuration
loinc:LP14635-4	skos:exactMatch	CHEBI:17234	glucose	sempav:HumanCuration
loinc:LP14638-8	skos:exactMatch	CHEBI:18222	xylose	sempav:HumanCuration
loinc:LP14649-5	skos:exactMatch	CHEBI:3306	calcitonin	sempav:HumanCuration
loinc:LP14651-1	skos:exactMatch	CHEBI:81570	Chorionic gonadotropin	sempav:HumanCuration
loinc:LP14656-0	skos:exactMatch	CHEBI:3892	corticotropin	sempav:HumanCuration
loinc:LP14661-0	skos:exactMatch	CHEBI:50114	estrogen	sempav:HumanCuration
loinc:LP14665-1	skos:exactMatch	CHEBI:75436	gastrin	sempav:HumanCuration
loinc:LP14667-7	skos:exactMatch	CHEBI:5391	glucagon	sempav:HumanCuration
loinc:LP14669-3	skos:exactMatch	CHEBI:5883	Immunoglobulin A	sempav:HumanCuration
loinc:LP14683-4	skos:exactMatch	CHEBI:81568	Luteinizing hormone	sempav:HumanCuration
loinc:LP14686-7	skos:exactMatch	CHEBI:7044	myoglobin	sempav:HumanCuration
loinc:LP14688-3	skos:exactMatch	CHEBI:81580	Prolactin	sempav:HumanCuration
loinc:LP14693-3	skos:exactMatch	CHEBI:28790	serotonin	sempav:HumanCuration
loinc:LP14694-1	skos:exactMatch	CHEBI:64628	somatostatin	sempav:HumanCuration
loinc:LP14695-8	skos:exactMatch	CHEBI:37845	growth hormone	sempav:HumanCuration
loinc:LP14698-2	skos:exactMatch	CHEBI:9765	Trypsin	sempav:HumanCuration
loinc:LP14705-5	skos:exactMatch	CHEBI:2401	acetophenazine	sempav:HumanCuration
loinc:LP14707-1	skos:exactMatch	CHEBI:2791	aprobarbital	sempav:HumanCuration
loinc:LP14708-9	skos:exactMatch	CHEBI:3172	bretylium	sempav:HumanCuration
loinc:LP14712-1	skos:exactMatch	CHEBI:46195	paracetamol	sempav:HumanCuration
loinc:LP14713-9	skos:exactMatch	CHEBI:4495	diazoxide	sempav:HumanCuration
loinc:LP14714-7	skos:exactMatch	CHEBI:4551	digoxin	sempav:HumanCuration
loinc:LP14715-4	skos:exactMatch	CHEBI:4653	dipyridamole	sempav:HumanCuration
loinc:LP14717-0	skos:exactMatch	CHEBI:4710	doxepin	sempav:HumanCuration
loinc:LP14718-8	skos:exactMatch	CHEBI:141547	desmethyldoxepin	sempav:HumanCuration
loinc:LP14719-6	skos:exactMatch	CHEBI:5384	glipizide	sempav:HumanCuration
loinc:LP14720-4	skos:exactMatch	CHEBI:5441	glyburide	sempav:HumanCuration
loinc:LP14721-2	skos:exactMatch	CHEBI:6759	mepivacaine	sempav:HumanCuration
loinc:LP14724-6	skos:exactMatch	CHEBI:6846	Methsuximide	sempav:HumanCuration
loinc:LP14729-5	skos:exactMatch	CHEBI:8069	phenobarbital	sempav:HumanCuration
loinc:LP14730-3	skos:exactMatch	CHEBI:8412	primidone	sempav:HumanCuration
loinc:LP14731-1	skos:exactMatch	CHEBI:8107	phenytoin	sempav:HumanCuration
loinc:LP14732-9	skos:exactMatch	CHEBI:8107	phenytoin	sempav:HumanCuration
loinc:LP14733-7	skos:exactMatch	CHEBI:135436	pirmenol	sempav:HumanCuration
loinc:LP14734-5	skos:exactMatch	CHEBI:9671	triamterene	sempav:HumanCuration
loinc:LP14735-2	skos:exactMatch	CHEBI:36809	tricyclic antidepressant	sempav:HumanCuration
loinc:LP14737-8	skos:exactMatch	CHEBI:22258	adenosine triphosphate	sempav:HumanCuration
loinc:LP14741-0	skos:exactMatch	CHEBI:30769	citric acid	sempav:HumanCuration
loinc:LP14746-9	skos:exactMatch	CHEBI:28757	fructose	sempav:HumanCuration
loinc:LP14749-3	skos:exactMatch	CHEBI:36313	glycerophosphocholine	sempav:HumanCuration
loinc:LP14752-7	skos:exactMatch	CHEBI:49637	hydrogen atom	sempav:HumanCuration
loinc:LP14753-5	skos:exactMatch	CHEBI:28852	prostaglandin F1alpha	sempav:HumanCuration
loinc:LP14795-6	skos:exactMatch	CHEBI:27363	zinc atom	sempav:HumanCuration
loinc:LP14831-9	skos:exactMatch	CHEBI:204928	cefotaxime	sempav:HumanCuration
loinc:LP14866-5	skos:exactMatch	CHEBI:24021	fat	sempav:HumanCuration
loinc:LP14884-8	skos:exactMatch	CHEBI:27573	silicon atom	sempav:HumanCuration
loinc:LP14887-1	skos:exactMatch	CHEBI:32544	nicotinate	sempav:HumanCuration
loinc:LP14888-9	skos:exactMatch	CHEBI:64709	organic acid	sempav:HumanCuration
loinc:LP14889-7	skos:exactMatch	CHEBI:37712	O-phosphoserine	sempav:HumanCuration
loinc:LP14891-3	skos:exactMatch	CHEBI:16684	atropine	sempav:HumanCuration
loinc:LP14892-1	skos:exactMatch	CHEBI:6822	Methazolamide	sempav:HumanCuration
loinc:LP14906-9	skos:exactMatch	CHEBI:28669	bacitracin	sempav:HumanCuration
loinc:LP14908-5	skos:exactMatch	CHEBI:80229	Bombesin	sempav:HumanCuration
loinc:LP14911-9	skos:exactMatch	CHEBI:34914	phenolphthalein	sempav:HumanCuration
loinc:LP14912-7	skos:exactMatch	CHEBI:26020	phosphate	sempav:HumanCuration
loinc:LP14913-5	skos:exactMatch	CHEBI:26214	porphyrins	sempav:HumanCuration
loinc:LP14914-3	skos:exactMatch	CHEBI:88539	Pyridinoline	sempav:HumanCuration
loinc:LP14916-8	skos:exactMatch	CHEBI:3125	Bisacodyl	sempav:HumanCuration
loinc:LP14917-6	skos:exactMatch	CHEBI:135358	oxyphenisatine	sempav:HumanCuration
loinc:LP14918-4	skos:exactMatch	CHEBI:7986	Pentoxifylline	sempav:HumanCuration
loinc:LP14919-2	skos:exactMatch	CHEBI:35018	Trenbolone	sempav:HumanCuration
loinc:LP149244-8	skos:exactMatch	CHEBI:80285	Liver-expressed antimicrobial peptide 1	sempav:HumanCuration
loinc:LP14925-9	skos:exactMatch	CHEBI:80495	benzidine	sempav:HumanCuration
loinc:LP14927-5	skos:exactMatch	CHEBI:22908	borate	sempav:HumanCuration
loinc:LP14928-3	skos:exactMatch	CHEBI:82315	3,3'-Dichlorobenzidine	sempav:HumanCuration
loinc:LP14930-9	skos:exactMatch	CHEBI:35413	methanediamine	sempav:HumanCuration
loinc:LP14931-7	skos:exactMatch	CHEBI:33364	platinum	sempav:HumanCuration
loinc:LP14974-7	skos:exactMatch	CHEBI:17252	17alpha-hydroxyprogesterone	sempav:HumanCuration
loinc:LP14976-2	skos:exactMatch	CHEBI:17376	cystine	sempav:HumanCuration
loinc:LP14977-0	skos:exactMatch	CHEBI:17230	homocysteine	sempav:HumanCuration
loinc:LP14980-4	skos:exactMatch	CHEBI:2168	6-Acetylmorphine	sempav:HumanCuration
loinc:LP14981-2	skos:exactMatch	CHEBI:2611	alprazolam	sempav:HumanCuration
loinc:LP14983-8	skos:exactMatch	CHEBI:2666	amitriptyline	sempav:HumanCuration
loinc:LP14984-6	skos:exactMatch	CHEBI:7640	nortriptyline	sempav:HumanCuration
loinc:LP14985-3	skos:exactMatch	CHEBI:3419	carisoprodol	sempav:HumanCuration
loinc:LP14986-1	skos:exactMatch	CHEBI:554446	cephapirin	sempav:HumanCuration
loinc:LP14987-9	skos:exactMatch	CHEBI:46631	clonidine	sempav:HumanCuration
loinc:LP14988-7	skos:exactMatch	CHEBI:4392	demeclocycline	sempav:HumanCuration
loinc:LP14990-3	skos:exactMatch	CHEBI:4511	dicloxacillin	sempav:HumanCuration
loinc:LP14991-1	skos:exactMatch	CHEBI:681848	doxapram	sempav:HumanCuration
loinc:LP14992-9	skos:exactMatch	CHEBI:50845	doxycycline	sempav:HumanCuration
loinc:LP14993-7	skos:exactMatch	CHEBI:46081	fluconazole	sempav:HumanCuration
loinc:LP14994-5	skos:exactMatch	CHEBI:5138	fluvoxamine	sempav:HumanCuration
loinc:LP14995-2	skos:exactMatch	CHEBI:6076	itraconazole	sempav:HumanCuration
loinc:LP14997-8	skos:exactMatch	CHEBI:6909	metronidazole	sempav:HumanCuration
loinc:LP14999-4	skos:exactMatch	CHEBI:7447	nafcillin	sempav:HumanCuration
loinc:LP15000-0	skos:exactMatch	CHEBI:7465	naltrexone	sempav:HumanCuration
loinc:LP15001-8	skos:exactMatch	CHEBI:7507	neomycin	sempav:HumanCuration
loinc:LP15003-4	skos:exactMatch	CHEBI:7852	oxycodone	sempav:HumanCuration
loinc:LP15004-2	skos:exactMatch	CHEBI:7921	Paramethadione	sempav:HumanCuration
loinc:LP15005-9	skos:exactMatch	CHEBI:2637	amikacin	sempav:HumanCuration
loinc:LP15006-7	skos:exactMatch	CHEBI:8461	promethazine	sempav:HumanCuration
loinc:LP15007-5	skos:exactMatch	CHEBI:45285	pyrazinecarboxamide	sempav:HumanCuration
loinc:LP15008-3	skos:exactMatch	CHEBI:16794	scopolamine	sempav:HumanCuration
loinc:LP15009-1	skos:exactMatch	CHEBI:9588	ticlopidine	sempav:HumanCuration
loinc:LP15010-9	skos:exactMatch	CHEBI:45924	trimethoprim	sempav:HumanCuration
loinc:LP15014-1	skos:exactMatch	CHEBI:22720	benzodiazepine	sempav:HumanCuration
loinc:LP15015-8	skos:exactMatch	CHEBI:6807	methadone	sempav:HumanCuration
loinc:LP15016-6	skos:exactMatch	CHEBI:6821	methaqualone	sempav:HumanCuration
loinc:LP15017-4	skos:exactMatch	CHEBI:8497	propoxyphene	sempav:HumanCuration
loinc:LP15027-3	skos:exactMatch	CHEBI:33568	adrenaline	sempav:HumanCuration
loinc:LP15032-3	skos:exactMatch	CHEBI:6121	ketamine	sempav:HumanCuration
loinc:LP15036-4	skos:exactMatch	CHEBI:16796	melatonin	sempav:HumanCuration
loinc:LP15041-4	skos:exactMatch	CHEBI:28728	thromboxane B2	sempav:HumanCuration
loinc:LP15046-3	skos:exactMatch	CHEBI:102524	butalbital	sempav:HumanCuration
loinc:LP15048-9	skos:exactMatch	CHEBI:62685	norfentanyl	sempav:HumanCuration
loinc:LP15059-6	skos:exactMatch	CHEBI:39068	cis-chlordane	sempav:HumanCuration
loinc:LP15060-4	skos:exactMatch	CHEBI:16598	DDE	sempav:HumanCuration
loinc:LP15061-2	skos:exactMatch	CHEBI:16130	DDT	sempav:HumanCuration
loinc:LP15062-0	skos:exactMatch	CHEBI:34696	dieldrin	sempav:HumanCuration
loinc:LP15064-6	skos:exactMatch	CHEBI:32888	gamma-hexachlorocyclohexane	sempav:HumanCuration
loinc:LP15065-3	skos:exactMatch	CHEBI:6842	methoxychlor	sempav:HumanCuration
loinc:LP15066-1	skos:exactMatch	CHEBI:3499	cefotetan	sempav:HumanCuration
loinc:LP15068-7	skos:exactMatch	CHEBI:17300	tetrachloroethene	sempav:HumanCuration
loinc:LP15090-1	skos:exactMatch	CHEBI:33567	catecholamine	sempav:HumanCuration
loinc:LP15096-8	skos:exactMatch	CHEBI:133744	homovanillate	sempav:HumanCuration
loinc:LP15097-6	skos:exactMatch	CHEBI:62622	(5-hydroxyindol-3-yl)acetate	sempav:HumanCuration
loinc:LP15098-4	skos:exactMatch	CHEBI:26216	potassium atom	sempav:HumanCuration
loinc:LP15099-2	skos:exactMatch	CHEBI:26708	sodium atom	sempav:HumanCuration
loinc:LP15115-6	skos:exactMatch	CHEBI:48923	erythromycin	sempav:HumanCuration
loinc:LP15141-2	skos:exactMatch	CHEBI:30512	silver atom	sempav:HumanCuration
loinc:LP15143-8	skos:exactMatch	CHEBI:45652	succinylcholine	sempav:HumanCuration
loinc:LP15149-5	skos:exactMatch	CHEBI:80233	Atrial natriuretic peptide	sempav:HumanCuration
loinc:LP15150-3	skos:exactMatch	CHEBI:16526	carbon dioxide	sempav:HumanCuration
loinc:LP15151-1	skos:exactMatch	CHEBI:23388	coproporphyrin	sempav:HumanCuration
loinc:LP15152-9	skos:exactMatch	CHEBI:65311	corticotropin-releasing hormone	sempav:HumanCuration
loinc:LP15153-7	skos:exactMatch	CHEBI:12109	5-aminolevulinate	sempav:HumanCuration
loinc:LP15157-8	skos:exactMatch	CHEBI:24859	iodine atom	sempav:HumanCuration
loinc:LP15158-6	skos:exactMatch	CHEBI:36711	phosphoethanolamine	sempav:HumanCuration
loinc:LP15160-2	skos:exactMatch	CHEBI:17452	[pyruvate kinase]	sempav:HumanCuration
loinc:LP15161-0	skos:exactMatch	CHEBI:27259	uroporphyrin	sempav:HumanCuration
loinc:LP15162-8	skos:exactMatch	CHEBI:82913	3-O-methyldopa	sempav:HumanCuration
loinc:LP15163-6	skos:exactMatch	CHEBI:2673	amobarbital	sempav:HumanCuration
loinc:LP15164-4	skos:exactMatch	CHEBI:2896	astemizole	sempav:HumanCuration
loinc:LP15165-1	skos:exactMatch	CHEBI:3181	bromocriptine	sempav:HumanCuration
loinc:LP15166-9	skos:exactMatch	CHEBI:3183	brompheniramine	sempav:HumanCuration
loinc:LP15167-7	skos:exactMatch	CHEBI:119915	fentanyl	sempav:HumanCuration
loinc:LP15168-5	skos:exactMatch	CHEBI:5296	gemfibrozil	sempav:HumanCuration
loinc:LP15169-3	skos:exactMatch	CHEBI:5775	hydralazine	sempav:HumanCuration
loinc:LP15171-9	skos:exactMatch	CHEBI:5818	hydroxyzine	sempav:HumanCuration
